RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 5 HOLES,TOTAL HOLE OUTS
1,1,Brandon Harkins,42,10,140,
2,2,Tony Finau,36,7,122,2
T3,T3,Stewart Cink,35,6,116,
T3,T7,Kelly Kraft,41,6,136,2
T3,T3,Rory Sabbatini,38,6,124,2
T3,T3,Hudson Swafford,36,6,120,
T3,T3,Gary Woodland,41,6,132,2
T8,T7,Rafa Cabrera Bello,28,5,96,1
T8,T7,Derek Fathauer,40,5,134,1
T8,T7,Lanto Griffin,28,5,92,2
T8,T7,Whee Kim,37,5,130,
T8,T7,Michael Kim,30,5,100,4
T8,T22,Jason Kokrak,42,5,142,2
T8,T7,Ryan Moore,24,5,74,1
T8,T22,Grayson Murray,36,5,136,2
T8,T7,Kevin Na,30,5,108,1
T8,T7,Conrad Shindler,24,5,82,1
T8,T7,Webb Simpson,32,5,100,1
T8,T7,Justin Thomas,32,5,100,
T8,T7,Cameron Tringale,35,5,120,1
T8,T7,Peter Uihlein,32,5,108,2
T8,T7,Jhonattan Vegas,36,5,126,1
T8,T7,Xinjun Zhang,37,5,122,1
T24,T22,Aaron Baddeley,36,4,122,3
T24,T22,Daniel Berger,30,4,94,1
T24,T22,Keegan Bradley,32,4,106,
T24,T22,Kevin Chappell,30,4,102,1
T24,T22,Bryson DeChambeau,31,4,108,
T24,T22,Harris English,32,4,102,1
T24,T42,Matt Every,39,4,128,
T24,T73,Bill Haas,27,4,98,1
T24,T22,Chesson Hadley,38,4,132,1
T24,T22,Jim Herman,25,4,87,
T24,T22,Tom Hoge,43,4,140,1
T24,T22,Charles Howell III,40,4,138,
T24,T22,Dustin Johnson,20,4,72,
T24,T22,Martin Laird,25,4,84,2
T24,T22,Andrew Landry,29,4,95,1
T24,T22,Phil Mickelson,31,4,112,
T24,T22,Ryan Palmer,20,4,66,1
T24,T22,D.A. Points,31,4,104,
T24,T22,Jon Rahm,28,4,104,1
T24,T42,Cameron Smith,32,4,112,1
T24,T22,Brendan Steele,32,4,116,
T45,T42,Ryan Armour,45,3,148,
T45,T42,Ryan Blaum,34,3,111,2
T45,T122,Sam Burns,18,3,60,
T45,T42,Paul Casey,28,3,104,
T45,T42,Alex Cejka,29,3,101,
T45,T73,Austin Cook,43,3,142,1
T45,T42,Tyler Duncan,36,3,116,1
T45,T42,Brian Gay,38,3,122,
T45,T42,Talor Gooch,41,3,138,1
T45,T73,Branden Grace,28,3,104,
T45,T42,Adam Hadwin,40,3,148,1
T45,T42,Brian Harman,34,3,110,
T45,T42,Charley Hoffman,26,3,86,1
T45,T42,Beau Hossler,42,3,144,1
T45,T42,Sung Kang,38,3,134,
T45,T42,Smylie Kaufman,30,3,102,
T45,T73,Si Woo Kim,40,3,140,1
T45,T42,Patton Kizzire,40,3,126,
T45,T73,Russell Knox,40,3,132,2
T45,T42,Marc Leishman,30,3,102,
T45,T42,Tom Lovelady,35,3,120,1
T45,T42,Hideki Matsuyama,17,3,67,
T45,T122,William McGirt,32,3,98,2
T45,T42,Troy Merritt,37,3,120,
