RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,2,Jason Day,16,25.16,40,159
2,3,Justin Thomas,32,23.01,81,352
3,1,Justin Rose,16,22.50,36,160
4,5,Jon Rahm,28,22.34,65,291
5,6,Dustin Johnson,20,21.80,46,211
6,8,Hideki Matsuyama,17,21.71,38,175
7,9,Phil Mickelson,31,21.50,69,321
8,10,Brendan Steele,32,21.43,72,336
9,4,Ollie Schniederjans,34,21.11,76,360
10,11,Kevin Chappell,30,20.87,67,321
11,12,Brian Harman,34,20.81,77,370
12,13,Pat Perez,32,20.60,69,335
13,14,Scott Piercy,30,20.56,66,321
14,7,Zach Johnson,28,20.47,61,298
15,16,Kevin Kisner,25,20.36,56,275
16,15,Whee Kim,37,20.05,77,384
17,19,Bubba Watson,27,19.93,58,291
18,999,Tiger Woods,14,19.86,29,146
19,18,Aaron Wise,38,19.70,79,401
20,22,Cameron Smith,32,19.64,66,336
21,24,Marc Leishman,30,19.57,63,322
22,17,Ryan Palmer,20,19.52,41,210
23,29,Patrick Reed,34,19.48,68,349
24,23,Chez Reavie,46,19.33,93,481
25,28,Patton Kizzire,40,19.18,84,438
26,21,Gary Woodland,41,19.13,84,439
27,20,Nicholas Lindheim,29,18.95,58,306
28,26,Ryan Blaum,34,18.89,68,360
29,34,Alex Noren,24,18.85,49,260
30,39,Rickie Fowler,20,18.64,41,220
31,41,Peter Uihlein,32,18.53,63,340
32,27,David Lingmerth,25,18.49,49,265
33,33,Russell Knox,40,18.44,78,423
T34,25,Stewart Cink,35,18.43,68,369
T34,T42,Brandon Harkins,42,18.43,82,445
T34,31,Grayson Murray,36,18.43,68,369
37,T35,Ben Martin,40,18.35,78,425
38,54,Dominic Bozzelli,24,18.29,47,257
39,30,Adam Hadwin,40,18.20,75,412
T40,T48,Tommy Fleetwood,16,18.18,32,176
T40,T35,Brian Gay,38,18.18,74,407
T40,T48,Matt Jones,24,18.18,46,253
43,37,Hudson Swafford,36,18.13,70,386
44,47,Branden Grace,28,18.02,51,283
45,T42,Peter Malnati,37,17.90,70,391
T46,46,Tony Finau,36,17.89,68,380
T46,40,Jamie Lovemark,36,17.89,68,380
48,38,Jordan Spieth,24,17.76,46,259
49,T61,Andrew Landry,29,17.68,55,311
50,T48,Byeong Hun An,22,17.65,42,238
51,T61,Chesson Hadley,38,17.63,70,397
