RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Dustin Johnson,20,62.50,45,72
2,2,Justin Thomas,32,59.00,59,100
3,3,Bryson DeChambeau,31,58.33,63,108
4,4,Alex Noren,24,57.89,44,76
5,5,Xander Schauffele,34,57.76,67,116
6,T8,Patrick Cantlay,28,55.00,55,100
7,6,Jason Kokrak,42,54.93,78,142
8,10,Jon Rahm,28,54.81,57,104
9,11,Patton Kizzire,40,53.97,68,126
10,12,Keith Mitchell,32,53.85,56,104
11,13,Pat Perez,32,53.45,62,116
12,15,Maverick McNealy,16,53.23,33,62
13,7,Austin Cook,43,52.82,75,142
14,20,Lanto Griffin,28,52.17,48,92
15,T8,Byeong Hun An,22,51.47,35,68
16,19,Bill Haas,27,51.02,50,98
T17,24,Paul Casey,28,50.96,53,104
T17,25,J.J. Spaun,33,50.96,53,104
19,T26,Phil Mickelson,31,50.89,57,112
T20,T28,Tommy Fleetwood,16,50.00,24,48
T20,T28,James Hahn,36,50.00,62,124
T20,T28,Kevin Kisner,25,50.00,39,78
T20,999,Rory McIlroy,13,50.00,20,40
T20,T28,Kevin Na,30,50.00,54,108
T20,21,Gary Woodland,41,50.00,66,132
26,22,Luke List,43,49.32,72,146
27,38,Rory Sabbatini,38,49.19,61,124
28,T28,Tony Finau,36,49.18,60,122
29,T26,Kevin Tway,36,49.17,59,120
30,37,Brendan Steele,32,49.14,57,116
31,39,Cameron Smith,32,49.11,55,112
32,14,Sam Saunders,32,49.04,51,104
T33,23,Martin Laird,25,48.81,41,84
T33,16,Jimmy Walker,25,48.81,41,84
35,17,Jordan Spieth,24,48.72,38,78
36,44,Brice Garnett,40,48.55,67,138
37,T28,Ryan Palmer,20,48.48,32,66
38,47,Marc Leishman,30,48.04,49,102
39,41,Webb Simpson,32,48.00,48,100
40,48,Scott Piercy,30,47.96,47,98
41,T49,Daniel Berger,30,47.87,45,94
42,52,Jhonattan Vegas,36,47.62,60,126
43,53,Vaughn Taylor,39,47.50,57,120
T44,T28,Ollie Schniederjans,34,47.32,53,112
T44,55,Kyle Stanley,32,47.32,53,112
46,56,Brian Harman,34,47.27,52,110
47,40,Michael Kim,30,47.00,47,100
48,59,Ricky Barnes,28,46.94,46,98
49,45,John Huh,40,46.83,59,126
50,T74,Sam Burns,18,46.67,28,60
51,T66,Ryan Armour,45,46.62,69,148
52,T60,Seamus Power,31,46.15,48,104
53,43,Scott Stallings,43,45.89,67,146
T54,58,Brandon Harkins,42,45.71,64,140
T54,70,Daniel Summerhays,19,45.71,32,70
56,91,Trey Mullinax,25,45.56,41,90
57,54,Stephan Jaeger,39,45.38,59,130
58,76,Jason Day,16,45.31,29,64
T59,T77,Bronson Burgoon,25,45.24,38,84
T59,T77,Michael Thompson,16,45.24,19,42
T59,46,Aaron Wise,38,45.24,57,126
62,65,Kevin Streelman,42,45.21,66,146
63,73,Ben Silverman,43,45.14,65,144
T64,80,Kevin Chappell,30,45.10,46,102
T64,T49,Harris English,32,45.10,46,102
66,51,Justin Rose,16,45.00,27,60
67,64,Lucas Glover,38,44.93,62,138
68,57,Tyrone Van Aswegen,48,44.87,70,156
69,84,Rafa Cabrera Bello,28,44.79,43,96
T70,T62,Chesson Hadley,38,44.70,59,132
T70,71,Russell Knox,40,44.70,59,132
