RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,1,Kevin Streelman,11,1.74,73,42
2,3,Dustin Johnson,5,1.80,36,20
3,2,Zach Johnson,7,1.82,51,28
4,6,Patton Kizzire,11,1.88,75,40
5,T8,Justin Thomas,8,1.91,61,32
6,7,Webb Simpson,9,1.94,62,32
T7,T10,Jason Kokrak,11,2.00,84,42
T7,T8,Chez Reavie,12,2.00,92,46
9,T4,Jordan Spieth,7,2.04,49,24
10,12,Rickie Fowler,6,2.05,41,20
11,T4,Cameron Smith,8,2.09,67,32
12,T13,Bubba Watson,7,2.11,57,27
13,15,Hideki Matsuyama,5,2.12,36,17
14,16,Byeong Hun An,7,2.14,47,22
15,T10,Brandt Snedeker,7,2.16,54,25
16,17,Johnson Wagner,7,2.17,50,23
17,T18,Russell Knox,11,2.18,87,40
18,T18,Phil Mickelson,8,2.19,68,31
T19,T46,Paul Casey,7,2.21,62,28
T19,20,Brian Harman,9,2.21,75,34
21,T13,William McGirt,9,2.22,71,32
T22,T22,Emiliano Grillo,8,2.25,72,32
T22,21,Charles Howell III,11,2.25,90,40
24,26,Pat Perez,8,2.28,73,32
25,T22,Brian Gay,12,2.29,87,38
26,28,Kevin Na,8,2.30,69,30
27,T82,Justin Rose,4,2.31,37,16
T28,T22,Beau Hossler,12,2.33,98,42
T28,T31,Luke List,12,2.33,100,43
T28,T31,Alex Noren,6,2.33,56,24
T31,T29,Alex Cejka,10,2.34,68,29
T31,27,Lucas Glover,10,2.34,89,38
T31,35,Brendan Steele,8,2.34,75,32
T34,T41,Chris Kirk,12,2.36,104,44
T34,T31,Matt Kuchar,7,2.36,66,28
36,T29,Stewart Cink,10,2.37,83,35
T37,T36,Rob Oppenheim,11,2.38,76,32
T37,T41,Patrick Reed,10,2.38,81,34
39,T39,Rafa Cabrera Bello,7,2.39,67,28
T40,T41,Kevin Chappell,8,2.40,72,30
T40,T46,Ben Martin,11,2.40,96,40
T42,T44,Nate Lashley,10,2.41,65,27
T42,T44,Vaughn Taylor,11,2.41,94,39
T44,T50,Austin Cook,11,2.42,104,43
T44,25,Tony Finau,10,2.42,87,36
46,T76,Adam Hadwin,10,2.43,97,40
T47,T39,Scott Brown,13,2.44,110,45
T47,T50,James Hahn,9,2.44,88,36
T47,T50,Kevin Kisner,7,2.44,61,25
T47,49,Martin Laird,8,2.44,61,25
51,56,Jon Rahm,7,2.46,69,28
T52,T69,Corey Conners,11,2.47,106,43
T52,T31,Chesson Hadley,11,2.47,94,38
T52,T57,Keith Mitchell,10,2.47,79,32
T52,T50,Scott Stallings,12,2.47,106,43
T52,T57,Kyle Stanley,9,2.47,79,32
57,T50,Tom Hoge,13,2.49,107,43
T58,T61,Daniel Berger,8,2.50,75,30
T58,T36,Jason Dufner,7,2.50,65,26
T58,T61,Matt Jones,8,2.50,60,24
T58,T76,Jamie Lovemark,11,2.50,90,36
T58,T61,Sean O'Hair,8,2.50,65,26
T58,T61,Xander Schauffele,9,2.50,85,34
64,59,Whee Kim,12,2.51,93,37
65,T36,Rod Pampling,7,2.52,63,25
T66,T71,Scott Piercy,8,2.53,76,30
T66,T71,Jhonattan Vegas,10,2.53,91,36
T68,60,Talor Gooch,12,2.54,104,41
T68,T61,Branden Grace,7,2.54,71,28
T68,T61,Ryan Moore,7,2.54,61,24
T68,T74,Steve Wheatcroft,9,2.54,61,24
T72,T76,Ben Crane,8,2.56,64,25
T72,108,Trey Mullinax,8,2.56,64,25
T72,T50,Hudson Swafford,10,2.56,92,36
T75,T79,Cameron Percy,4,2.57,36,14
T75,999,Tiger Woods,4,2.57,36,14
T77,T82,Zac Blair,8,2.58,62,24
T77,T82,Conrad Shindler,8,2.58,62,24
T79,T89,Andrew Landry,11,2.59,75,29
T79,T89,Brett Stegmaier,9,2.59,75,29
T79,T89,Gary Woodland,11,2.59,106,41
T82,T61,Ryan Palmer,6,2.60,52,20
T82,T46,Sam Ryder,10,2.60,78,30
T84,95,Patrick Cantlay,7,2.61,73,28
T84,T89,Patrick Rodgers,13,2.61,107,41
86,T89,Ryan Armour,13,2.62,118,45
T87,T103,Blayne Barber,8,2.63,71,27
T87,T97,Anirban Lahiri,8,2.63,79,30
T87,T100,Tyrone Van Aswegen,13,2.63,126,48
T87,T71,Aaron Wise,12,2.63,100,38
91,T97,Aaron Baddeley,11,2.64,95,36
92,T100,Brice Garnett,12,2.65,106,40
T93,96,Abraham Ancer,12,2.66,101,38
T93,T106,Hunter Mahan,9,2.66,77,29
T93,T106,Peter Uihlein,10,2.66,85,32
T93,T61,Nick Watney,9,2.66,85,32
T97,T79,Bryson DeChambeau,9,2.68,83,31
T97,T74,C.T. Pan,11,2.68,99,37
T97,T82,Brian Stuard,12,2.68,107,40
T97,T69,Nick Taylor,12,2.68,110,41
T101,T111,Jason Day,4,2.69,43,16
T101,T111,Rick Lamb,6,2.69,43,16
T101,T109,Sam Saunders,10,2.69,86,32
T104,T113,Roberto Díaz,10,2.70,89,33
T104,T113,Denny McCarthy,9,2.70,62,23
T106,T153,Sung Kang,11,2.71,103,38
T106,T115,Chris Stroud,12,2.71,103,38
T106,T115,Cameron Tringale,12,2.71,95,35
109,T160,Sam Burns,5,2.72,49,18
110,119,J.J. Spaun,11,2.73,90,33
T111,T120,Jonathan Byrd,8,2.74,63,23
T111,T120,Joel Dahmen,11,2.74,96,35
T111,T103,Bill Haas,8,2.74,74,27
T111,T103,Brandon Harkins,12,2.74,115,42
T115,94,Harris English,12,2.75,88,32
T115,124,Thomas Pieters,6,2.75,66,24
T117,T79,Peter Malnati,13,2.76,102,37
T117,T131,Rory Sabbatini,11,2.76,105,38
119,T82,Charley Hoffman,8,2.77,72,26
T120,T131,Keegan Bradley,9,2.78,89,32
T120,T100,Adam Schenk,12,2.78,111,40
122,T127,Charl Schwartzel,6,2.79,67,24
T123,T127,J.T. Poston,7,2.80,70,25
T123,T127,Shawn Stefani,10,2.80,84,30
T125,130,Tommy Fleetwood,4,2.81,45,16
T125,126,Graeme McDowell,8,2.81,76,27
T125,T141,Jonathan Randolph,11,2.81,87,31
T128,T133,Francesco Molinari,5,2.83,51,18
T128,T120,Grayson Murray,10,2.83,102,36
130,T133,Ben Silverman,13,2.84,122,43
T131,T160,Ollie Schniederjans,10,2.85,97,34
T131,125,Harold Varner III,11,2.85,111,39
T133,T141,Russell Henley,8,2.86,80,28
T133,140,Billy Horschel,8,2.86,63,22
T133,T133,Xinjun Zhang,12,2.86,106,37
T136,T141,Stephan Jaeger,12,2.87,112,39
T136,T146,Marc Leishman,8,2.87,86,30
T138,T115,Bud Cauley,10,2.88,95,33
T138,T109,Colt Knost,8,2.88,69,24
T138,T158,Kelly Kraft,12,2.88,118,41
T138,T148,Maverick McNealy,5,2.88,46,16
T142,151,Ricky Barnes,10,2.89,81,28
T142,T97,J.J. Henry,10,2.89,81,28
T144,T138,John Huh,12,2.90,116,40
T144,T166,Si Woo Kim,11,2.90,116,40
T146,T153,K.J. Choi,8,2.91,64,22
T146,T153,David Hearn,7,2.91,64,22
T148,T160,Ken Duke,5,2.93,44,15
T148,T141,Michael Kim,11,2.93,88,30
T150,T138,Fabián Gómez,12,2.94,106,36
T150,118,Seamus Power,11,2.94,91,31
T152,T148,Luke Donald,7,2.95,62,21
T152,T146,Derek Fathauer,12,2.95,118,40
T152,T141,Troy Merritt,12,2.95,109,37
155,165,Lanto Griffin,10,2.96,83,28
T156,T166,Wesley Bryan,9,2.97,89,30
T156,152,Andrew Putnam,11,2.97,98,33
T156,T133,Richy Werenski,13,2.97,110,37
T159,T168,Bronson Burgoon,9,3.00,75,25
T159,999,Rory McIlroy,4,3.00,39,13
T159,T168,Michael Thompson,5,3.00,48,16
T162,176,Ryan Blaum,12,3.03,103,34
T162,T160,Danny Lee,11,3.03,88,29
T162,T148,Tom Lovelady,12,3.03,106,35
T162,T168,"Ted Potter, Jr.",12,3.03,100,33
T166,T186,Adam Scott,6,3.04,70,23
T166,T183,Jimmy Walker,8,3.04,76,25
T168,T153,Martin Piller,12,3.05,113,37
T168,T172,Daniel Summerhays,6,3.05,58,19
170,T120,Nicholas Lindheim,11,3.07,89,29
T171,T172,Dominic Bozzelli,7,3.08,74,24
T171,T153,Martin Flores,11,3.08,120,39
T171,T168,David Lingmerth,8,3.08,77,25
174,177,Jonas Blixt,10,3.10,96,31
175,T178,Ethan Tracy,10,3.11,87,28
176,T183,Matt Atkins,9,3.14,69,22
T177,191,Robert Garrigus,10,3.15,104,33
T177,T192,Shane Lowry,6,3.15,63,20
179,T186,Cody Gribble,10,3.16,98,31
T180,T178,Sangmoon Bae,11,3.17,92,29
T180,T181,Tyler Duncan,13,3.17,114,36
T182,190,J.B. Holmes,8,3.19,86,27
T182,T174,Kevin Tway,11,3.19,115,36
T184,T174,Geoff Ogilvy,7,3.21,61,19
T184,T178,Robert Streb,11,3.21,93,29
T186,T195,Chad Campbell,12,3.23,126,39
T186,T192,Zecheng Dou,11,3.23,84,26
T188,T192,Ernie Els,6,3.25,52,16
T188,T160,Ian Poulter,5,3.25,52,16
190,T183,Matt Every,13,3.26,127,39
T191,T181,Retief Goosen,9,3.29,92,28
T191,189,Padraig Harrington,6,3.29,56,17
193,197,Jim Herman,9,3.32,83,25
194,T195,Greg Chalmers,12,3.35,114,34
195,198,Gavin Kyle Green,4,3.38,54,16
196,199,Camilo Villegas,12,3.44,141,41
197,202,Morgan Hoffmann,9,3.48,80,23
198,200,Smylie Kaufman,12,3.50,105,30
T199,201,D.A. Points,11,3.55,110,31
T199,203,Kyle Thompson,9,3.55,71,20
201,204,HaoTong Li,4,3.56,57,16
202,206,Jon Curran,8,3.65,62,17
203,205,Mackenzie Hughes,10,3.67,88,24
204,207,Billy Hurley III,12,3.93,114,29
205,209,Andrew Yun,9,4.45,89,20
