RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
1,1,Chesson Hadley,38,23.87,37,155
2,2,Andrew Putnam,33,22.22,30,135
3,4,Austin Cook,43,21.97,38,173
4,6,Phil Mickelson,31,20.80,26,125
5,13,Grayson Murray,36,20.28,29,143
6,8,Rickie Fowler,20,19.74,15,76
7,11,Dustin Johnson,20,19.48,15,77
8,12,J.T. Poston,25,18.81,19,101
9,9,Paul Casey,28,18.80,22,117
10,23,Ryan Armour,45,18.78,34,181
11,14,Tommy Fleetwood,16,18.75,12,64
T12,T16,Rick Lamb,16,18.46,12,65
T12,T16,Maverick McNealy,16,18.46,12,65
14,19,Jon Rahm,28,18.35,20,109
15,20,Anirban Lahiri,30,18.33,22,120
16,21,Wesley Bryan,30,18.10,21,116
17,22,Francesco Molinari,18,18.06,13,72
18,24,Emiliano Grillo,32,17.97,23,128
19,10,Blayne Barber,27,17.86,20,112
20,T28,Ricky Barnes,28,17.70,20,113
21,31,Pat Perez,32,17.60,22,125
22,32,Conrad Shindler,24,17.53,17,97
23,15,Martin Flores,39,17.50,28,160
T24,25,Brian Gay,38,17.42,27,155
T24,33,J.J. Spaun,33,17.42,23,132
26,34,Patton Kizzire,40,17.31,27,156
27,T28,Sam Saunders,32,17.29,23,133
28,7,Trey Mullinax,25,17.14,18,105
29,36,Brett Stegmaier,29,17.09,20,117
30,26,Scott Stallings,43,16.95,30,177
31,39,Jason Day,16,16.92,11,65
32,T40,Rafa Cabrera Bello,28,16.81,19,113
33,35,John Huh,40,16.67,27,162
T34,27,Martin Piller,37,16.56,25,151
T34,45,Vaughn Taylor,39,16.56,26,157
36,46,James Hahn,36,16.55,24,145
37,47,Zac Blair,24,16.49,16,97
38,T49,Marc Leishman,30,16.38,19,116
39,T43,Danny Lee,29,16.10,19,118
40,T49,Chez Reavie,46,16.04,30,187
41,18,Sung Kang,38,16.03,25,156
42,38,Brian Stuard,40,15.95,26,163
43,52,Ethan Tracy,28,15.93,18,113
44,37,Xinjun Zhang,37,15.89,24,151
T45,42,Beau Hossler,42,15.79,27,171
T45,T40,Nick Watney,32,15.79,21,133
47,51,Bud Cauley,33,15.67,21,134
T48,T54,HaoTong Li,16,15.63,10,64
T48,T54,Hideki Matsuyama,17,15.63,10,64
50,62,Talor Gooch,41,15.57,26,167
T51,T54,Zach Johnson,28,15.52,18,116
T51,58,Andrew Landry,29,15.52,18,116
53,30,Geoff Ogilvy,19,15.38,12,78
54,T60,Luke List,43,15.34,27,176
55,48,Brandt Snedeker,25,15.24,16,105
T56,T64,Jonathan Byrd,23,15.05,14,93
T56,T64,Johnson Wagner,23,15.05,14,93
58,67,Chris Kirk,44,14.92,27,181
T59,78,Derek Fathauer,40,14.72,24,163
T59,81,Tyrone Van Aswegen,48,14.72,29,197
61,71,Russell Henley,28,14.68,16,109
62,T43,Charles Howell III,40,14.63,24,164
63,57,Brandon Harkins,42,14.62,25,171
T64,T72,Matt Atkins,22,14.61,13,89
T64,76,Luke Donald,21,14.61,13,89
66,T60,Camilo Villegas,41,14.46,24,166
67,102,Adam Scott,23,14.43,14,97
68,77,Cody Gribble,31,14.40,18,125
69,69,Greg Chalmers,34,14.39,20,139
T70,80,William McGirt,32,14.29,19,133
T70,74,Ben Silverman,43,14.29,25,175
72,53,Alex Cejka,29,14.05,17,121
73,59,Zecheng Dou,26,14.02,15,107
T74,T83,Keith Mitchell,32,13.95,18,129
T74,T83,Rob Oppenheim,32,13.95,18,129
76,63,Ben Martin,40,13.94,23,165
77,68,Troy Merritt,37,13.91,21,151
T78,T87,Nate Lashley,27,13.76,15,109
T78,T87,Bubba Watson,27,13.76,15,109
80,82,Tony Finau,36,13.70,20,146
T81,79,Keegan Bradley,32,13.64,18,132
T81,91,Brian Harman,34,13.64,18,132
83,66,Ollie Schniederjans,34,13.57,19,140
84,97,Corey Conners,43,13.56,24,177
85,93,Thomas Pieters,24,13.54,13,96
86,70,Abraham Ancer,38,13.46,21,156
87,T87,Billy Hurley III,29,13.45,16,119
88,94,Chris Stroud,38,13.42,20,149
89,T95,Kevin Kisner,25,13.40,13,97
90,75,Seamus Power,31,13.39,17,127
91,149,Rory Sabbatini,38,13.38,21,157
92,92,"Ted Potter, Jr.",33,13.33,18,135
93,85,Cameron Smith,32,13.28,17,128
94,99,Jon Curran,17,13.24,9,68
T95,T124,Robert Garrigus,33,13.14,18,137
T95,98,Tom Hoge,43,13.14,23,175
97,T72,Mackenzie Hughes,24,13.13,13,99
98,86,Shane Lowry,20,12.94,11,85
T99,T103,Brendan Steele,32,12.90,16,124
T99,T103,Justin Thomas,32,12.90,16,124
T101,T105,Bronson Burgoon,25,12.87,13,101
T101,T105,Ben Crane,25,12.87,13,101
T101,T105,Jim Herman,25,12.87,13,101
104,T109,Patrick Cantlay,28,12.84,14,109
105,100,Padraig Harrington,17,12.68,9,71
106,108,C.T. Pan,37,12.67,19,150
107,T109,Sangmoon Bae,29,12.61,15,119
108,144,Stewart Cink,35,12.41,18,145
T109,T115,Kevin Na,30,12.40,15,121
T109,T115,Shawn Stefani,30,12.40,15,121
111,T112,Harris English,32,12.31,16,130
112,T112,Michael Kim,30,12.30,15,122
113,119,Cameron Percy,14,12.28,7,57
114,90,Byeong Hun An,22,12.22,11,90
115,T95,Charley Hoffman,26,12.15,13,107
116,T112,Ian Poulter,16,12.12,8,66
117,122,Kyle Stanley,32,12.10,15,124
118,111,Nick Taylor,41,11.98,20,167
119,T117,Branden Grace,28,11.97,14,117
120,T120,Harold Varner III,39,11.88,19,160
121,128,Denny McCarthy,23,11.83,11,93
122,T158,Justin Rose,16,11.76,8,68
123,131,Peter Uihlein,32,11.72,15,128
124,999,Tiger Woods,14,11.67,7,60
125,101,Bill Haas,27,11.61,13,112
126,T166,Ernie Els,16,11.59,8,69
127,T129,Jordan Spieth,24,11.58,11,95
128,134,Jonas Blixt,31,11.57,14,121
129,175,Jason Kokrak,42,11.56,20,173
130,T147,Adam Schenk,40,11.52,19,165
131,152,Graeme McDowell,27,11.50,13,113
132,132,Billy Horschel,22,11.49,10,87
133,T137,Jhonattan Vegas,36,11.43,16,140
134,135,Retief Goosen,28,11.40,13,114
135,123,Peter Malnati,37,11.26,17,151
136,T120,Adam Hadwin,40,11.25,18,160
T137,T142,David Hearn,22,11.24,10,89
T137,T153,Kelly Kraft,41,11.24,19,169
139,T137,Sam Ryder,30,11.20,14,125
140,157,Tom Lovelady,35,11.19,16,143
141,T139,Matt Every,39,11.18,18,161
T142,T117,J.J. Henry,28,11.11,13,117
T142,T145,Andrew Yun,20,11.11,9,81
144,T124,Jonathan Randolph,31,11.02,14,127
145,141,Charl Schwartzel,24,11.00,11,100
146,162,Kevin Tway,36,10.96,16,146
147,150,Michael Thompson,16,10.94,7,64
148,T145,Dominic Bozzelli,24,10.89,11,101
149,133,Aaron Wise,38,10.83,17,157
T150,T126,Jason Dufner,26,10.78,11,102
T150,T126,Martin Laird,25,10.78,11,102
T150,151,Gary Woodland,41,10.78,18,167
T153,169,Fabián Gómez,36,10.74,16,149
T153,T153,Scott Piercy,30,10.74,13,121
155,T153,Patrick Rodgers,41,10.65,18,169
156,156,Cameron Tringale,35,10.64,15,141
157,170,Chad Campbell,39,10.63,17,160
158,174,Webb Simpson,32,10.61,14,132
159,T139,Richy Werenski,37,10.60,16,151
160,188,Sam Burns,18,10.53,8,76
161,195,Jimmy Walker,25,10.48,11,105
162,T160,Daniel Berger,30,10.34,12,116
163,T147,Russell Knox,40,10.30,17,165
164,136,Scott Brown,45,10.27,19,185
T165,163,Kevin Chappell,30,10.26,12,117
T165,T129,Lucas Glover,38,10.26,16,156
167,168,K.J. Choi,22,10.11,9,89
168,T142,Sean O'Hair,26,10.09,11,109
169,T184,Nicholas Lindheim,29,10.08,12,119
T170,T186,Ryan Blaum,34,9.93,14,141
T170,172,Joel Dahmen,35,9.93,14,141
T170,T186,Patrick Reed,34,9.93,14,141
173,173,Xander Schauffele,34,9.85,13,132
174,T177,Bryson DeChambeau,31,9.84,12,122
175,T160,Brice Garnett,40,9.70,16,165
176,165,Tyler Duncan,36,9.52,14,147
177,T199,Jamie Lovemark,36,9.46,14,148
T178,T181,Matt Kuchar,28,9.40,11,117
T178,T177,Hunter Mahan,29,9.40,11,117
180,190,Si Woo Kim,40,9.38,15,160
181,171,Kevin Streelman,42,9.36,16,171
182,191,Stephan Jaeger,39,9.32,15,161
T183,T181,Matt Jones,24,9.28,9,97
T183,T181,Steve Wheatcroft,24,9.28,9,97
185,164,Ryan Moore,24,9.18,9,98
186,176,D.A. Points,31,8.94,11,123
187,189,Kyle Thompson,20,8.64,7,81
188,T184,Robert Streb,29,8.40,10,119
T189,T192,Alex Noren,24,8.33,8,96
T189,179,Ryan Palmer,20,8.33,7,84
191,196,Ken Duke,15,8.20,5,61
192,180,Aaron Baddeley,36,8.05,12,149
193,197,Lanto Griffin,28,7.96,9,113
194,T192,Whee Kim,37,7.89,12,152
195,T199,Gavin Kyle Green,16,7.81,5,64
196,201,Daniel Summerhays,19,7.79,6,77
197,205,Hudson Swafford,36,7.75,11,142
198,207,David Lingmerth,25,7.69,8,104
199,208,Rod Pampling,25,7.62,8,105
200,203,Roberto Díaz,33,7.52,10,133
201,204,Smylie Kaufman,30,7.38,9,122
202,999,Rory McIlroy,13,7.27,4,55
203,202,J.B. Holmes,27,7.08,8,113
204,198,Colt Knost,24,7.07,7,99
205,209,Morgan Hoffmann,23,5.43,5,92
