RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,1,Dustin Johnson,20,2.59,106,41
T2,2,Zach Johnson,28,2.11,118,56
T2,4,Justin Thomas,32,2.11,156,74
4,6,Patton Kizzire,40,2.01,179,89
5,T7,Phil Mickelson,31,2.00,152,76
6,T9,Brian Harman,34,1.91,147,77
T7,T11,Rickie Fowler,20,1.89,83,44
T7,T11,Jon Rahm,28,1.89,142,75
9,13,Hideki Matsuyama,17,1.88,75,40
10,14,Pat Perez,32,1.87,153,82
11,3,Jordan Spieth,24,1.86,95,51
12,5,Cameron Smith,32,1.84,138,75
T13,16,Jason Kokrak,42,1.82,175,96
T13,15,Webb Simpson,32,1.82,122,67
T13,T7,Kevin Streelman,42,1.82,144,79
16,17,Brendan Steele,32,1.81,145,80
17,T9,Chez Reavie,46,1.80,187,104
T18,18,Jason Day,16,1.78,80,45
T18,T19,Justin Rose,16,1.78,71,40
20,24,Paul Casey,28,1.76,120,68
21,T21,Alex Noren,24,1.68,101,60
22,23,Bubba Watson,27,1.67,110,66
T23,26,Kevin Chappell,30,1.62,125,77
T23,T21,Austin Cook,43,1.62,186,115
25,T19,Chesson Hadley,38,1.60,166,104
T26,T29,Rafa Cabrera Bello,28,1.59,113,71
T26,T29,Kevin Kisner,25,1.59,108,68
T28,T33,James Hahn,36,1.56,151,97
T28,T33,Scott Piercy,30,1.56,126,81
30,32,Luke List,43,1.55,178,115
T31,T27,Charles Howell III,40,1.54,152,99
T31,T33,Russell Knox,40,1.54,154,100
T33,38,Patrick Cantlay,28,1.51,116,77
T33,25,Tony Finau,36,1.51,148,98
T33,T27,Brian Gay,38,1.51,153,101
T36,T40,Emiliano Grillo,32,1.49,124,83
T36,T40,Xander Schauffele,34,1.49,140,94
38,31,Brandt Snedeker,25,1.48,86,58
T39,T33,Byeong Hun An,22,1.47,88,60
T39,T33,Bryson DeChambeau,31,1.47,131,89
T41,T49,Kevin Na,30,1.45,112,77
T41,T49,Johnson Wagner,23,1.45,84,58
43,T52,Marc Leishman,30,1.44,131,91
T44,T44,Stewart Cink,35,1.43,136,95
T44,T52,Branden Grace,28,1.43,110,77
T44,39,Ryan Palmer,20,1.43,80,56
T44,T44,Scott Stallings,43,1.43,166,116
T44,T56,Kyle Stanley,32,1.43,126,88
49,59,Vaughn Taylor,39,1.42,150,106
T50,T42,Brandon Harkins,42,1.41,171,121
T50,T46,Chris Kirk,44,1.41,161,114
T50,T49,Ben Martin,40,1.41,155,110
T50,69,Patrick Reed,34,1.41,133,94
T54,T42,Martin Laird,25,1.40,98,70
T54,T52,Gary Woodland,41,1.40,168,120
T56,T62,Tommy Fleetwood,16,1.39,68,49
T56,T67,Adam Hadwin,40,1.39,147,106
T56,T52,William McGirt,32,1.39,110,79
T59,T46,Beau Hossler,42,1.38,155,112
T59,T56,Ollie Schniederjans,34,1.38,148,107
T59,66,J.J. Spaun,33,1.38,139,101
62,60,Ryan Armour,45,1.37,170,124
63,T75,Trey Mullinax,25,1.35,97,72
T64,T70,Daniel Berger,30,1.34,111,83
T64,61,Matt Kuchar,28,1.34,98,73
T64,T70,Peter Uihlein,32,1.34,122,91
T64,T56,Aaron Wise,38,1.34,153,114
T68,T67,Tom Hoge,43,1.32,164,124
T68,T62,Sam Saunders,32,1.32,131,99
70,T62,Jason Dufner,26,1.30,95,73
T71,T62,Lucas Glover,38,1.29,133,103
T71,T86,Jamie Lovemark,36,1.29,130,101
T73,T86,Jhonattan Vegas,36,1.27,130,102
T73,999,Tiger Woods,14,1.27,52,41
T75,T77,Alex Cejka,29,1.26,98,78
T75,T89,Anirban Lahiri,30,1.26,107,85
T75,T89,Andrew Landry,29,1.26,103,82
T75,T89,Hunter Mahan,29,1.26,102,81
T75,T89,Tyrone Van Aswegen,48,1.26,175,139
T80,74,Talor Gooch,41,1.25,145,116
T80,T93,Matt Jones,24,1.25,90,72
T80,T93,Maverick McNealy,16,1.25,69,55
T83,T93,Keegan Bradley,32,1.24,115,93
T83,T101,Corey Conners,43,1.24,150,121
T83,T97,Brett Stegmaier,29,1.24,102,82
T86,T77,Scott Brown,45,1.23,153,124
T86,T81,John Huh,40,1.23,150,122
T86,T81,Brian Stuard,40,1.23,145,118
T86,73,Nick Taylor,41,1.23,143,116
T90,T86,Aaron Baddeley,36,1.22,122,100
