RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
T90,T105,Blayne Barber,27,1.22,101,83
T90,T101,Nate Lashley,27,1.22,89,73
T90,T101,Keith Mitchell,32,1.22,121,99
T90,T81,Hudson Swafford,36,1.22,132,108
T95,100,Whee Kim,37,1.21,135,112
T95,T105,Cameron Percy,14,1.21,51,42
T95,T118,Rory Sabbatini,38,1.21,137,113
T98,T105,Brice Garnett,40,1.20,139,116
T98,T75,C.T. Pan,37,1.20,133,111
T100,T140,Sam Burns,18,1.19,63,53
T100,T111,Jonathan Byrd,23,1.19,86,72
T100,T70,Charley Hoffman,26,1.19,93,78
T100,T111,Rob Oppenheim,32,1.19,107,90
T104,T115,Ricky Barnes,28,1.18,111,94
T104,T77,Bud Cauley,33,1.18,124,105
T104,T81,Ryan Moore,24,1.18,77,65
T104,T105,Patrick Rodgers,41,1.18,142,120
T104,T115,Conrad Shindler,24,1.18,86,73
109,T97,Sam Ryder,30,1.16,103,89
T110,T97,Bill Haas,27,1.15,92,80
T110,T93,Peter Malnati,37,1.15,132,115
T112,T126,Bronson Burgoon,25,1.14,92,81
T112,T126,Russell Henley,28,1.14,104,91
T112,T126,J.T. Poston,25,1.14,87,76
T112,T105,Nick Watney,32,1.14,111,97
T116,T131,Joel Dahmen,35,1.13,116,103
T116,T131,Francesco Molinari,18,1.13,63,56
T118,T133,Zac Blair,24,1.12,75,67
T118,T133,Wesley Bryan,30,1.12,115,103
T118,T133,Lanto Griffin,28,1.12,105,94
T118,T81,Nicholas Lindheim,29,1.12,109,97
T118,T101,Seamus Power,31,1.12,113,101
T118,T133,Chris Stroud,38,1.12,135,121
T124,T140,Abraham Ancer,38,1.11,127,114
T124,T105,Martin Flores,39,1.11,147,132
T124,T120,Grayson Murray,36,1.11,149,134
T124,T126,Ben Silverman,43,1.11,162,146
T128,T111,Harris English,32,1.10,112,102
T128,T138,Sung Kang,38,1.10,136,124
T128,T133,Si Woo Kim,40,1.10,146,133
T128,T126,Andrew Putnam,33,1.10,119,108
T128,T118,Xinjun Zhang,37,1.10,140,127
133,T120,Billy Horschel,22,1.09,75,69
T134,T150,Ryan Blaum,34,1.08,125,116
T134,T146,Dominic Bozzelli,24,1.08,90,83
T134,T120,Derek Fathauer,40,1.08,144,133
T134,T146,Robert Garrigus,33,1.08,122,113
T138,T120,Danny Lee,29,1.07,113,106
T138,T120,Tom Lovelady,35,1.07,131,122
T140,T150,Ben Crane,25,1.06,75,71
T140,T150,David Hearn,22,1.06,75,71
T140,T157,Jimmy Walker,25,1.06,93,88
T143,T150,Stephan Jaeger,39,1.05,128,122
T143,T138,Troy Merritt,37,1.05,126,120
T143,T120,Martin Piller,37,1.05,135,129
T143,143,"Ted Potter, Jr.",33,1.05,117,111
T143,T155,Shawn Stefani,30,1.05,103,98
T148,T168,Sean O'Hair,26,1.04,80,77
T148,T144,Rod Pampling,25,1.04,78,75
T148,T157,Thomas Pieters,24,1.04,83,80
T148,T144,Adam Schenk,40,1.04,127,122
T148,167,Adam Scott,23,1.04,81,78
T148,T157,Cameron Tringale,35,1.04,120,115
154,T146,Michael Kim,30,1.03,107,104
T155,163,Daniel Summerhays,19,1.02,66,65
T155,T150,Kevin Tway,36,1.02,127,125
T155,T140,Richy Werenski,37,1.02,128,126
T158,T155,Fabián Gómez,36,1.00,121,121
T158,166,Michael Thompson,16,1.00,56,56
T160,T157,Tyler Duncan,36,.99,127,128
T160,T161,David Lingmerth,25,.99,87,88
162,T170,Graeme McDowell,27,.97,86,89
T163,T170,Ken Duke,15,.96,49,51
T163,T168,J.B. Holmes,27,.96,92,96
T163,T175,Kelly Kraft,41,.96,131,136
T163,T170,Denny McCarthy,23,.96,68,71
T163,999,Rory McIlroy,13,.96,44,46
T163,T175,Charl Schwartzel,24,.96,73,76
169,174,K.J. Choi,22,.95,69,73
T170,T161,Retief Goosen,28,.94,92,98
T170,T164,J.J. Henry,28,.94,84,89
T170,T175,Rick Lamb,16,.94,50,53
T170,T170,Jonathan Randolph,31,.94,96,102
T174,T146,Ian Poulter,16,.93,53,57
T174,179,Steve Wheatcroft,24,.93,69,74
T176,T180,Roberto Díaz,33,.92,96,104
T176,T180,Ethan Tracy,28,.92,96,104
178,T182,HaoTong Li,16,.91,60,66
T179,185,Cody Gribble,31,.90,107,119
T179,T175,Harold Varner III,39,.90,113,126
T181,T182,Greg Chalmers,34,.88,110,125
T181,T182,Matt Every,39,.88,126,144
T181,T164,Colt Knost,24,.88,75,85
T184,T189,Jonas Blixt,31,.87,97,111
T184,T187,Shane Lowry,20,.87,60,69
T186,T192,Matt Atkins,22,.86,68,79
T186,186,Luke Donald,21,.86,60,70
T188,T189,Sangmoon Bae,29,.85,87,102
T188,T197,Chad Campbell,39,.85,110,130
190,T189,Mackenzie Hughes,24,.84,80,95
191,T197,Morgan Hoffmann,23,.83,72,87
T192,T197,Ernie Els,16,.82,46,56
T192,T194,Billy Hurley III,29,.82,100,122
T192,T192,Camilo Villegas,41,.82,127,155
195,200,Kyle Thompson,20,.81,65,80
196,201,Jim Herman,25,.80,77,96
197,T194,Robert Streb,29,.79,84,107
198,T194,Padraig Harrington,17,.77,51,66
199,202,Gavin Kyle Green,16,.76,51,67
200,T203,Zecheng Dou,26,.74,74,100
201,T203,Smylie Kaufman,30,.71,96,135
202,206,Jon Curran,17,.69,48,70
203,T203,Geoff Ogilvy,19,.68,45,66
204,207,D.A. Points,31,.66,88,133
205,208,Andrew Yun,20,.55,56,102
