RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,,Luke List,102,7,"1,054",3
T2,,Andres Gonzales,73,4,744,3
T2,,Marc Leishman,94,4,"1,002",
T4,,Keegan Bradley,104,3,"1,102",3
T4,,Paul Casey,94,3,980,2
T4,,Graham DeLaet,82,3,822,2
T4,,Matt Every,76,3,760,3
T4,,Rickie Fowler,78,3,832,1
T4,,Adam Hadwin,98,3,"1,049",3
T4,,Charley Hoffman,112,3,"1,167",2
T4,,Morgan Hoffmann,92,3,961,3
T4,,J.B. Holmes,83,3,823,1
T4,,Martin Laird,83,3,887,3
T4,,Hideki Matsuyama,83,3,822,1
T4,,Francesco Molinari,75,3,778,2
T4,,Kevin Na,86,3,896,1
T4,,Kyle Reifers,96,3,945,2
T4,,Xander Schauffele,96,3,"1,023",2
T4,,Brendan Steele,89,3,906,1
T4,,Justin Thomas,86,3,862,1
T4,,Harold Varner III,101,3,"1,074",3
T4,,Boo Weekley,75,3,792,2
T23,,Daniel Berger,91,2,944,2
T23,,Zac Blair,105,2,"1,073",2
T23,,Dominic Bozzelli,69,2,699,1
T23,,Ryan Brehm,83,2,843,2
T23,,Wesley Bryan,95,2,998,
T23,,Kevin Chappell,95,2,963,1
T23,,Bryson DeChambeau,91,2,978,1
T23,,Brett Drewitt,57,2,569,2
T23,,Jason Dufner,89,2,904,2
T23,,Tony Finau,106,2,"1,133",2
T23,,James Hahn,96,2,"1,035",
T23,,Brian Harman,104,2,"1,090",1
T23,,Mark Hubbard,81,2,807,2
T23,,Whee Kim,74,2,784,2
T23,,Kelly Kraft,75,2,776,1
T23,,Rick Lamb,54,2,542,1
T23,,Andrew Loupe,55,2,561,1
T23,,Jamie Lovemark,98,2,"1,038",2
T23,,Hunter Mahan,73,2,763,2
T23,,Rory McIlroy,51,2,526,1
T23,,Phil Mickelson,85,2,865,2
T23,,Ryan Moore,82,2,855,2
T23,,Geoff Ogilvy,80,2,787,1
T23,,Pat Perez,93,2,975,1
T23,,D.A. Points,68,2,733,2
T23,,Seamus Power,86,2,869,1
T23,,Cameron Smith,86,2,871,1
T23,,Jordan Spieth,85,2,867,2
T23,,Shawn Stefani,72,2,742,1
T23,,Brett Stegmaier,78,2,828,
T23,,Daniel Summerhays,100,2,"1,017",2
T23,,Nick Taylor,97,2,"1,025",1
T55,,Byeong Hun An,77,1,768,
T55,,Ricky Barnes,100,1,993,1
T55,,Chad Campbell,97,1,"1,062",1
T55,,Greg Chalmers,75,1,767,1
T55,,Luke Donald,50,1,525,1
T55,,Ernie Els,52,1,562,
T55,,JuliÃ¡n Etulain,68,1,681,1
T55,,Derek Fathauer,81,1,813,1
T55,,Gonzalo Fernandez-CastaÃ±o,63,1,603,1
T55,,Martin Flores,88,1,883,1
T55,,Jim Furyk,54,1,541,1
T55,,Sergio Garcia,65,1,686,
T55,,FabiÃ¡n GÃ³mez,61,1,642,1
T55,,Retief Goosen,52,1,492,1
T55,,Cody Gribble,79,1,839,
T55,,Emiliano Grillo,90,1,940,
T55,,Bill Haas,92,1,928,1
T55,,Brandon Hagy,85,1,839,1
T55,,David Hearn,93,1,923,
T55,,Russell Henley,99,1,"1,068",
T55,,Tom Hoge,54,1,495,1
T55,,Charles Howell III,86,1,896,
T55,,Mackenzie Hughes,106,1,"1,133",1
T55,,John Huh,92,1,962,1
T55,,Billy Hurley III,80,1,871,
T55,,Zach Johnson,81,1,844,1
T55,,Dustin Johnson,77,1,763,
T55,,Matt Jones,64,1,613,
T55,,Sung Kang,104,1,"1,115",
T55,,Michael Kim,94,1,986,
T55,,Chris Kirk,89,1,887,1
T55,,Brooks Koepka,88,1,878,
T55,,Spencer Levin,89,1,923,1
T55,,Nicholas Lindheim,58,1,600,1
T55,,William McGirt,89,1,911,
T55,,SebastiÃ¡n MuÃ±oz,51,1,531,1
T55,,Trey Mullinax,88,1,885,
T55,,Sean O'Hair,84,1,914,
T55,,Rod Pampling,71,1,773,1
T55,,Cameron Percy,71,1,707,
T55,,Carl Pettersson,63,1,637,1
T55,,Ian Poulter,72,1,740,
T55,,Tag Ridings,67,1,636,1
T55,,Justin Rose,66,1,697,1
T55,,Sam Saunders,76,1,755,
T55,,Charl Schwartzel,63,1,650,
T55,,Webb Simpson,102,1,"1,087",
T55,,J.J. Spaun,92,1,933,
T55,,Scott Stallings,81,1,847,1
T55,,Robert Streb,98,1,"1,044",1
T55,,Kevin Streelman,90,1,945,1
T55,,Vaughn Taylor,90,1,920,
T55,,Cameron Tringale,89,1,899,
T55,,Jhonattan Vegas,95,1,982,
T55,,Camilo Villegas,76,1,786,1
T55,,Johnson Wagner,71,1,686,1
T55,,Tim Wilkinson,64,1,629,1
T55,,Gary Woodland,94,1,967,
