"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Grayson Murray",7100,"Golf@Golf 03/15/2018 06:00AM ET",63.05,"Golf"
"G","Camilo Villegas",7100,"Golf@Golf 03/15/2018 06:00AM ET",45.125,"Golf"
"G","Cody Gribble",7100,"Golf@Golf 03/15/2018 06:00AM ET",43.5,"Golf"
"G","Charley Hoffman",7100,"Golf@Golf 03/15/2018 06:00AM ET",60.778,"Golf"
"G","Robert Streb",7000,"Golf@Golf 03/15/2018 06:00AM ET",34.091,"Golf"
"G","J.B. Holmes",7000,"Golf@Golf 03/15/2018 06:00AM ET",53.278,"Golf"
"G","Bud Cauley",7000,"Golf@Golf 03/15/2018 06:00AM ET",55.4,"Golf"
"G","Sean O'Hair",7000,"Golf@Golf 03/15/2018 06:00AM ET",47.75,"Golf"
"G","Sam Horsfield",7000,"Golf@Golf 03/15/2018 06:00AM ET",49.071,"Golf"
"G","David Lingmerth",7000,"Golf@Golf 03/15/2018 06:00AM ET",45.722,"Golf"
"G","Sang-Moon Bae",7000,"Golf@Golf 03/15/2018 06:00AM ET",35.773,"Golf"
"G","Mackenzie Hughes",7000,"Golf@Golf 03/15/2018 06:00AM ET",33.15,"Golf"
"G","Davis Love",7000,"Golf@Golf 03/15/2018 06:00AM ET",36.625,"Golf"
"G","Smylie Kaufman",7000,"Golf@Golf 03/15/2018 06:00AM ET",33.083,"Golf"
"G","Donny Lee",7000,"Golf@Golf 03/15/2018 06:00AM ET",0,"Golf"
"G","Ernie Els",7000,"Golf@Golf 03/15/2018 06:00AM ET",39.7,"Golf"
"G","Bryson DeChambeau",6900,"Golf@Golf 03/15/2018 06:00AM ET",61.1,"Golf"
"G","Hao-Tong Li",6900,"Golf@Golf 03/15/2018 06:00AM ET",68.864,"Golf"
"G","Hudson Swafford",6900,"Golf@Golf 03/15/2018 06:00AM ET",58.7,"Golf"
"G","Aaron Wise",6900,"Golf@Golf 03/15/2018 06:00AM ET",55.625,"Golf"
"G","Brandon Harkins",6900,"Golf@Golf 03/15/2018 06:00AM ET",66.542,"Golf"
"G","Nick Taylor",6900,"Golf@Golf 03/15/2018 06:00AM ET",55.375,"Golf"
"G","Chris Stroud",6900,"Golf@Golf 03/15/2018 06:00AM ET",49.042,"Golf"
"G","Sung Kang",6900,"Golf@Golf 03/15/2018 06:00AM ET",54.318,"Golf"
"G","Brian Gay",6900,"Golf@Golf 03/15/2018 06:00AM ET",59.625,"Golf"
"G","Luke Donald",6900,"Golf@Golf 03/15/2018 06:00AM ET",51.278,"Golf"
"G","Brian Stuard",6900,"Golf@Golf 03/15/2018 06:00AM ET",56.167,"Golf"
"G","Whee Kim",6900,"Golf@Golf 03/15/2018 06:00AM ET",53.25,"Golf"
"G","Sam Saunders",6900,"Golf@Golf 03/15/2018 06:00AM ET",56.7,"Golf"
"G","Billy Horschel",6800,"Golf@Golf 03/15/2018 06:00AM ET",41.813,"Golf"
"G","Anirban Lahiri",6800,"Golf@Golf 03/15/2018 06:00AM ET",60.833,"Golf"
"G","Scott Brown",6800,"Golf@Golf 03/15/2018 06:00AM ET",55.269,"Golf"
"G","Curtis Luck",6800,"Golf@Golf 03/15/2018 06:00AM ET",87.5,"Golf"
"G","Ryan Armour",6800,"Golf@Golf 03/15/2018 06:00AM ET",61.154,"Golf"
"G","Ted Potter",6800,"Golf@Golf 03/15/2018 06:00AM ET",47.583,"Golf"
"G","Alex Cejka",6800,"Golf@Golf 03/15/2018 06:00AM ET",51.25,"Golf"
"G","Doc Redman",6800,"Golf@Golf 03/15/2018 06:00AM ET",0,"Golf"
"G","A.J. McInerney",6800,"Golf@Golf 03/15/2018 06:00AM ET",77.5,"Golf"
"G","Robert Gamez",6800,"Golf@Golf 03/15/2018 06:00AM ET",0,"Golf"
"G","Danny Lee",6800,"Golf@Golf 03/15/2018 06:00AM ET",42.727,"Golf"
"G","Si Woo Kim",6800,"Golf@Golf 03/15/2018 06:00AM ET",58.773,"Golf"
"G","John Huh",6800,"Golf@Golf 03/15/2018 06:00AM ET",56.333,"Golf"
"G","Satoshi Kodaira",6700,"Golf@Golf 03/15/2018 06:00AM ET",35,"Golf"
"G","Tom Hoge",6700,"Golf@Golf 03/15/2018 06:00AM ET",58.5,"Golf"
"G","Padraig Harrington",6700,"Golf@Golf 03/15/2018 06:00AM ET",47.182,"Golf"
"G","Talor Gooch",6700,"Golf@Golf 03/15/2018 06:00AM ET",52.769,"Golf"
"G","Martin Piller",6700,"Golf@Golf 03/15/2018 06:00AM ET",49.708,"Golf"
"G","Kevin Tway",6700,"Golf@Golf 03/15/2018 06:00AM ET",50.318,"Golf"
"G","Collin Morikawa",6700,"Golf@Golf 03/15/2018 06:00AM ET",0,"Golf"
"G","Yuta Ikeda",6700,"Golf@Golf 03/15/2018 06:00AM ET",74.5,"Golf"
"G","D.A. Points",6700,"Golf@Golf 03/15/2018 06:00AM ET",35.045,"Golf"
"G","Stuart Appleby",6700,"Golf@Golf 03/15/2018 06:00AM ET",38.875,"Golf"
"G","Tim Herron",6700,"Golf@Golf 03/15/2018 06:00AM ET",46,"Golf"
"G","Paul Goydos",6700,"Golf@Golf 03/15/2018 06:00AM ET",0,"Golf"
"G","Billy Hurley",6700,"Golf@Golf 03/15/2018 06:00AM ET",33.167,"Golf"
