Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Dustin Johnson (12472001),Dustin Johnson,12472001,G,11600,RBC Heritage,Golf,94.14
G,Francesco Molinari (12472002),Francesco Molinari,12472002,G,11300,RBC Heritage,Golf,77.67
G,Xander Schauffele (12472003),Xander Schauffele,12472003,G,10900,RBC Heritage,Golf,90.64
G,Bryson DeChambeau (12472004),Bryson DeChambeau,12472004,G,10400,RBC Heritage,Golf,95.59
G,Matt Kuchar (12472005),Matt Kuchar,12472005,G,10000,RBC Heritage,Golf,89.73
G,Patrick Cantlay (12472006),Patrick Cantlay,12472006,G,9700,RBC Heritage,Golf,83.15
G,Jordan Spieth (12472007),Jordan Spieth,12472007,G,9500,RBC Heritage,Golf,59.9
G,Jim Furyk (12472008),Jim Furyk,12472008,G,9400,RBC Heritage,Golf,69.56
G,Webb Simpson (12472009),Webb Simpson,12472009,G,9300,RBC Heritage,Golf,77.44
G,Tommy Fleetwood (12472010),Tommy Fleetwood,12472010,G,9200,RBC Heritage,Golf,79.2
G,Kevin Kisner (12472011),Kevin Kisner,12472011,G,9100,RBC Heritage,Golf,69.91
G,Si Woo Kim (12472012),Si Woo Kim,12472012,G,9000,RBC Heritage,Golf,76.64
G,Billy Horschel (12472013),Billy Horschel,12472013,G,8900,RBC Heritage,Golf,66.19
G,Jason Kokrak (12472014),Jason Kokrak,12472014,G,8800,RBC Heritage,Golf,80.79
G,Charles Howell (12472015),Charles Howell,12472015,G,8700,RBC Heritage,Golf,84.42
G,Ian Poulter (12472016),Ian Poulter,12472016,G,8600,RBC Heritage,Golf,84.14
G,Matthew Fitzpatrick (12472017),Matthew Fitzpatrick,12472017,G,8500,RBC Heritage,Golf,76.31
G,Sungjae Im (12472018),Sungjae Im,12472018,G,8400,RBC Heritage,Golf,71.56
G,Branden Grace (12472019),Branden Grace,12472019,G,8300,RBC Heritage,Golf,63.32
G,Byeong-Hun An (12472020),Byeong-Hun An,12472020,G,8200,RBC Heritage,Golf,72.68
G,Ryan Moore (12472021),Ryan Moore,12472021,G,8100,RBC Heritage,Golf,63.38
G,Marc Leishman (12472022),Marc Leishman,12472022,G,8000,RBC Heritage,Golf,86.36
G,Cameron Smith (12472023),Cameron Smith,12472023,G,7900,RBC Heritage,Golf,76.29
G,Justin Harding (12472024),Justin Harding,12472024,G,7900,RBC Heritage,Golf,78.15
G,Lucas Glover (12472025),Lucas Glover,12472025,G,7800,RBC Heritage,Golf,76.38
G,Charley Hoffman (12472026),Charley Hoffman,12472026,G,7800,RBC Heritage,Golf,52.85
G,Russell Knox (12472027),Russell Knox,12472027,G,7700,RBC Heritage,Golf,67.68
G,Luke List (12472028),Luke List,12472028,G,7700,RBC Heritage,Golf,62
G,Aaron Baddeley (12472029),Aaron Baddeley,12472029,G,7600,RBC Heritage,Golf,66.12
G,Rafael Cabrera-Bello (12472030),Rafael Cabrera-Bello,12472030,G,7600,RBC Heritage,Golf,73.38
G,Abraham Ancer (12472031),Abraham Ancer,12472031,G,7600,RBC Heritage,Golf,70.65
G,Graeme McDowell (12472032),Graeme McDowell,12472032,G,7500,RBC Heritage,Golf,71.23
G,Zach Johnson (12472033),Zach Johnson,12472033,G,7500,RBC Heritage,Golf,58.25
G,Brandt Snedeker (12472034),Brandt Snedeker,12472034,G,7500,RBC Heritage,Golf,67.15
