Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (12318792),Rory McIlroy,12318792,G,11600,Masters Tournament,Golf,98.29
G,Dustin Johnson (12318793),Dustin Johnson,12318793,G,11300,Masters Tournament,Golf,93.9
G,Justin Rose (12318794),Justin Rose,12318794,G,10800,Masters Tournament,Golf,89.79
G,Tiger Woods (12318795),Tiger Woods,12318795,G,10500,Masters Tournament,Golf,80.8
G,Justin Thomas (12318796),Justin Thomas,12318796,G,10200,Masters Tournament,Golf,96.4
G,Jon Rahm (12318797),Jon Rahm,12318797,G,10000,Masters Tournament,Golf,91.65
G,Rickie Fowler (12318798),Rickie Fowler,12318798,G,9700,Masters Tournament,Golf,92.4
G,Brooks Koepka (12318799),Brooks Koepka,12318799,G,9500,Masters Tournament,Golf,75.39
G,Bryson DeChambeau (12318800),Bryson DeChambeau,12318800,G,9300,Masters Tournament,Golf,96.5
G,Tommy Fleetwood (12318801),Tommy Fleetwood,12318801,G,9200,Masters Tournament,Golf,81.39
G,Jason Day (12318802),Jason Day,12318802,G,9100,Masters Tournament,Golf,75.06
G,Paul Casey (12318803),Paul Casey,12318803,G,9000,Masters Tournament,Golf,79.1
G,Jordan Spieth (12318804),Jordan Spieth,12318804,G,8900,Masters Tournament,Golf,58.61
G,Bubba Watson (12318805),Bubba Watson,12318805,G,8800,Masters Tournament,Golf,71.28
G,Hideki Matsuyama (12318806),Hideki Matsuyama,12318806,G,8700,Masters Tournament,Golf,77.4
G,Francesco Molinari (12318807),Francesco Molinari,12318807,G,8600,Masters Tournament,Golf,73.9
G,Xander Schauffele (12318808),Xander Schauffele,12318808,G,8500,Masters Tournament,Golf,88.8
G,Adam Scott (12318809),Adam Scott,12318809,G,8400,Masters Tournament,Golf,69
G,Phil Mickelson (12318810),Phil Mickelson,12318810,G,8300,Masters Tournament,Golf,73.19
G,Tony Finau (12318811),Tony Finau,12318811,G,8200,Masters Tournament,Golf,80.91
G,Louis Oosthuizen (12318812),Louis Oosthuizen,12318812,G,8100,Masters Tournament,Golf,79.6
G,Patrick Reed (12318813),Patrick Reed,12318813,G,8000,Masters Tournament,Golf,71.08
G,Matt Kuchar (12318814),Matt Kuchar,12318814,G,7900,Masters Tournament,Golf,89.9
G,Marc Leishman (12318815),Marc Leishman,12318815,G,7800,Masters Tournament,Golf,88.4
G,Patrick Cantlay (12318816),Patrick Cantlay,12318816,G,7700,Masters Tournament,Golf,82.39
G,Sergio Garcia (12318817),Sergio Garcia,12318817,G,7700,Masters Tournament,Golf,76.12
G,Henrik Stenson (12318818),Henrik Stenson,12318818,G,7600,Masters Tournament,Golf,49.81
G,Ian Poulter (12318819),Ian Poulter,12318819,G,7600,Masters Tournament,Golf,84.95
G,Gary Woodland (12318820),Gary Woodland,12318820,G,7500,Masters Tournament,Golf,86.62
G,Rafael Cabrera-Bello (12318821),Rafael Cabrera-Bello,12318821,G,7500,Masters Tournament,Golf,74.17
G,Webb Simpson (12318822),Webb Simpson,12318822,G,7400,Masters Tournament,Golf,75.12
G,Cameron Smith (12318823),Cameron Smith,12318823,G,7400,Masters Tournament,Golf,78.18
G,Matthew Fitzpatrick (12318824),Matthew Fitzpatrick,12318824,G,7300,Masters Tournament,Golf,76.29
G,Eddie Pepperell (12318825),Eddie Pepperell,12318825,G,7300,Masters Tournament,Golf,61.67
G,Charl Schwartzel (12318826),Charl Schwartzel,12318826,G,7300,Masters Tournament,Golf,47.17
G,Hao-Tong Li (12318827),Hao-Tong Li,12318827,G,7200,Masters Tournament,Golf,66.56
G,Brandt Snedeker (12318828),Brandt Snedeker,12318828,G,7200,Masters Tournament,Golf,70.96
G,Tyrrell Hatton (12318829),Tyrrell Hatton,12318829,G,7200,Masters Tournament,Golf,57.2
G,Matt Wallace (12318830),Matt Wallace,12318830,G,7100,Masters Tournament,Golf,71.55
G,Branden Grace (12318831),Branden Grace,12318831,G,7100,Masters Tournament,Golf,64.19
G,Billy Horschel (12318832),Billy Horschel,12318832,G,7100,Masters Tournament,Golf,66.38
G,Keegan Bradley (12318833),Keegan Bradley,12318833,G,7000,Masters Tournament,Golf,72.62
