RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
136,136,William McGirt,89,12.16,40,329
137,137,Sergio Garcia,65,12.10,30,248
138,138,Michael Kim,94,12.09,44,364
139,139,Charles Howell III,86,12.05,40,332
140,140,Ollie Schniederjans,92,12.00,42,350
T141,T141,Jim Herman,77,11.96,36,301
T141,T141,Kevin Kisner,105,11.96,47,393
143,143,Sung Kang,104,11.92,49,411
144,144,Ben Crane,86,11.88,38,320
145,145,Robert Streb,98,11.87,45,379
146,146,Ricky Barnes,100,11.86,44,371
147,147,Sean O'Hair,84,11.80,40,339
148,148,Mark Hubbard,81,11.71,35,299
149,149,Harold Varner III,101,11.56,46,398
150,150,Jhonattan Vegas,95,11.52,41,356
151,151,Alex Cejka,85,11.50,36,313
152,152,Cameron Percy,71,11.49,30,261
153,153,James Hahn,96,11.43,44,385
154,154,Gary Woodland,94,11.36,41,361
155,155,Shawn Stefani,72,11.31,31,274
T156,T156,Lucas Glover,93,11.26,41,364
T156,T156,Hudson Swafford,94,11.26,41,364
158,158,Brendan Steele,89,11.14,37,332
159,159,Xander Schauffele,96,11.11,41,369
160,160,Seamus Power,86,11.08,36,325
161,161,Zach Johnson,81,11.04,34,308
162,162,Jim Furyk,54,11.00,23,209
163,163,Steve Wheatcroft,51,10.99,21,191
164,164,Ernie Els,52,10.95,23,210
165,165,Morgan Hoffmann,92,10.92,39,357
166,166,Andrew Loupe,55,10.90,23,211
T167,T167,Jason Bohn,75,10.80,31,287
T167,T167,Ken Duke,77,10.80,31,287
T167,T167,Ryan Palmer,61,10.80,23,213
170,170,Patrick Rodgers,76,10.74,32,298
171,171,Pat Perez,93,10.64,38,357
172,172,Rod Pampling,71,10.53,30,285
173,173,Søren Kjeldsen,58,10.50,21,200
174,174,Fabián Gómez,61,10.34,24,232
175,175,Charl Schwartzel,63,10.25,25,244
176,176,Boo Weekley,75,10.20,30,294
177,177,Jimmy Walker,68,10.12,26,257
178,178,Kyle Reifers,96,10.11,36,356
179,179,Steven Bowditch,59,9.87,22,223
180,180,Brandon Hagy,85,9.71,30,309
181,181,Louis Oosthuizen,69,9.68,24,248
182,182,Ryo Ishikawa,56,9.65,22,228
183,183,Bubba Watson,71,9.60,24,250
184,184,Ryan Moore,82,9.49,30,316
185,185,Rory McIlroy,51,9.38,18,192
186,186,Hunter Mahan,73,9.34,27,289
187,187,Branden Grace,70,9.27,23,248
188,188,Chad Collins,66,8.37,21,251
189,189,Si Woo Kim,80,7.72,23,298
190,190,Roberto Castro,70,7.69,21,273
