RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Hideki Matsuyama,83,56.91,140,246
2,2,Luke List,102,54.46,171,314
3,3,Rory McIlroy,51,54.11,79,146
4,4,Brooks Koepka,88,52.89,128,242
5,5,Tony Finau,106,52.48,169,322
6,6,Jason Day,71,52.45,107,204
7,7,Charl Schwartzel,63,51.61,96,186
8,8,Jordan Spieth,85,50.44,115,228
9,9,Rickie Fowler,78,50.43,117,232
10,10,Phil Mickelson,85,50.00,127,254
11,11,Gary Woodland,94,49.27,135,274
12,12,Jon Rahm,90,49.24,130,264
13,13,Brandon Hagy,85,49.16,117,238
14,14,Dustin Johnson,77,49.09,108,220
15,15,Sung Kang,104,49.03,152,310
16,16,Seamus Power,86,48.78,120,246
17,17,Patrick Cantlay,52,48.75,78,160
18,18,Anirban Lahiri,72,48.60,104,214
19,19,Jhonattan Vegas,95,48.58,137,282
20,20,Pat Perez,93,48.26,139,288
21,21,Bubba Watson,71,48.24,96,199
22,22,Marc Leishman,94,48.06,124,258
23,23,Justin Rose,66,47.98,95,198
24,24,Hudson Swafford,94,47.84,133,278
25,25,Rory Sabbatini,71,47.45,93,196
26,26,Charley Hoffman,112,47.40,164,346
27,27,Grayson Murray,94,47.16,133,282
28,28,Kevin Chappell,95,46.62,138,296
29,29,Xander Schauffele,96,46.59,123,264
30,30,Francesco Molinari,75,46.52,107,230
31,31,Ryan Moore,82,46.22,116,251
32,32,Matt Every,76,46.08,100,217
33,33,Brendan Steele,89,45.99,126,274
34,34,Charles Howell III,86,45.97,114,248
T35,T35,Chris Stroud,67,45.93,79,172
T35,T35,Justin Thomas,86,45.93,113,246
37,37,Kyle Stanley,104,45.52,132,290
38,38,Derek Fathauer,81,45.30,106,234
39,39,Jamie Lovemark,98,45.03,136,302
T40,T40,Ryan Brehm,83,44.87,105,234
T40,T40,Bryson DeChambeau,91,44.87,118,263
42,42,Kevin Tway,96,44.85,122,272
43,43,Daniel Berger,91,44.66,117,262
44,44,Tom Hoge,54,44.59,66,148
45,45,Shane Lowry,52,44.44,76,171
46,46,Sean O'Hair,84,44.40,115,259
47,47,Bud Cauley,92,44.36,118,266
48,48,Nick Taylor,97,44.33,133,300
49,49,Ollie Schniederjans,92,44.27,116,262
50,50,Trey Mullinax,88,44.23,115,260
51,51,Brad Fritsch,56,44.19,76,172
52,52,Michael Kim,94,44.07,119,270
53,53,Sergio Garcia,65,43.96,80,182
54,54,Mackenzie Hughes,106,43.87,143,326
55,55,Russell Knox,75,43.75,91,208
56,56,Lucas Glover,93,43.71,125,286
57,57,Dominic Bozzelli,69,43.69,90,206
58,58,Patrick Reed,107,43.67,138,316
59,59,Branden Grace,70,43.63,89,204
60,60,Kevin Kisner,105,43.62,130,298
61,61,Morgan Hoffmann,92,43.61,116,266
T62,T62,Paul Casey,94,43.57,122,280
