RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Justin Thomas,86,24.36,210,862
2,2,Jordan Spieth,85,22.03,191,867
3,3,Scott Piercy,70,19.89,143,719
4,4,Robert Garrigus,78,19.87,154,775
5,5,Stewart Cink,93,19.78,198,"1,001"
6,6,Xander Schauffele,96,19.65,201,"1,023"
T7,T7,Jon Rahm,90,19.51,175,897
T7,T7,Justin Rose,66,19.51,136,697
9,9,Brandt Snedeker,53,19.34,105,543
10,10,Keegan Bradley,104,19.33,213,"1,102"
T11,T11,Jason Day,71,19.23,139,723
T11,T11,Rickie Fowler,78,19.23,160,832
13,13,Jason Dufner,89,19.14,173,904
14,14,Paul Casey,94,19.08,187,980
15,15,Sam Saunders,76,19.07,144,755
16,16,Brooks Koepka,88,19.02,167,878
17,17,Kevin Na,86,18.97,170,896
18,18,Hideki Matsuyama,83,18.86,155,822
19,19,Zach Johnson,81,18.84,159,844
20,20,Trey Mullinax,88,18.76,166,885
21,21,Ollie Schniederjans,92,18.66,178,954
22,22,Kyle Stanley,104,18.63,206,"1,106"
23,23,J.B. Holmes,83,18.59,153,823
24,24,Russell Henley,99,18.45,197,"1,068"
25,25,Anirban Lahiri,72,18.39,146,794
26,26,Brendan Steele,89,18.32,166,906
27,27,Vaughn Taylor,90,18.26,168,920
28,28,Charley Hoffman,112,18.25,213,"1,167"
29,29,Cody Gribble,79,18.24,153,839
T30,T30,Daniel Berger,91,18.22,172,944
T30,T30,Sergio Garcia,65,18.22,125,686
32,32,Grayson Murray,94,18.15,177,975
33,33,Francesco Molinari,75,18.12,141,778
34,34,Tony Finau,106,18.09,205,"1,133"
35,35,Sebastián Muñoz,51,18.08,96,531
36,36,Chris Kirk,89,18.04,160,887
37,37,Blayne Barber,77,17.98,137,762
T38,T38,Dustin Johnson,77,17.96,137,763
T38,T38,Danny Lee,93,17.96,173,963
40,40,Lucas Glover,93,17.94,174,970
41,41,Jamie Lovemark,98,17.92,186,"1,038"
42,42,Marc Leishman,94,17.86,179,"1,002"
43,43,Phil Mickelson,85,17.80,154,865
44,44,Rory McIlroy,51,17.68,93,526
45,45,Rory Sabbatini,71,17.67,126,713
46,46,Webb Simpson,102,17.66,192,"1,087"
47,47,Graham DeLaet,82,17.64,145,822
48,48,Camilo Villegas,76,17.56,138,786
49,49,Brandon Hagy,85,17.52,147,839
50,50,Byeong Hun An,77,17.45,134,768
51,51,Ryan Blaum,100,17.37,181,"1,042"
52,52,Cameron Smith,86,17.34,151,871
53,53,Chez Reavie,98,17.33,178,"1,027"
54,54,Matt Kuchar,95,17.32,172,993
55,55,Russell Knox,75,17.31,134,774
56,56,Tag Ridings,67,17.30,110,636
57,57,Seamus Power,86,17.26,150,869
58,58,Scott Stallings,81,17.24,146,847
59,59,Emiliano Grillo,90,17.23,162,940
60,60,Kevin Tway,96,17.21,165,959
61,61,Robert Streb,98,17.15,179,"1,044"
62,62,Michael Kim,94,17.14,169,986
63,63,Harold Varner III,101,17.13,184,"1,074"
64,64,Scott Brown,95,17.09,170,995
65,65,Billy Horschel,88,17.08,164,960
66,66,Andres Gonzales,73,17.07,127,744
67,67,J.T. Poston,95,17.04,159,933
68,68,Pat Perez,93,17.03,166,975
T69,T69,Ben Crane,86,16.96,146,861
T69,T69,Kevin Kisner,105,16.96,182,"1,073"
T69,T69,Sean O'Hair,84,16.96,155,914
T72,T72,Shane Lowry,52,16.93,87,514
T72,T72,Adam Scott,58,16.93,106,626
74,74,Jason Kokrak,95,16.91,173,"1,023"
75,75,Derek Fathauer,81,16.85,137,813
76,76,Bud Cauley,92,16.84,162,962
T77,T77,Patton Kizzire,84,16.83,140,832
T77,T77,David Lingmerth,79,16.83,136,808
79,79,Patrick Reed,107,16.81,182,"1,083"
80,80,Martin Laird,83,16.80,149,887
81,81,Sung Kang,104,16.77,187,"1,115"
82,82,Ben Martin,86,16.76,143,853
83,83,Brian Harman,104,16.70,182,"1,090"
84,84,Adam Hadwin,98,16.68,175,"1,049"
85,85,Hudson Swafford,94,16.67,163,978
86,86,Harris English,84,16.63,139,836
T87,T87,Aaron Baddeley,61,16.61,100,602
T87,T87,Kevin Chappell,95,16.61,160,963
89,89,Morgan Hoffmann,92,16.55,159,961
T90,T90,Chris Stroud,67,16.54,108,653
T90,T90,Boo Weekley,75,16.54,131,792
92,92,Smylie Kaufman,76,16.51,126,763
93,93,Ryan Moore,82,16.49,141,855
94,94,Gary Woodland,94,16.44,159,967
95,95,Billy Hurley III,80,16.42,143,871
96,96,Kevin Streelman,90,16.40,155,945
97,97,Shawn Stefani,72,16.31,121,742
98,98,Rafa Cabrera Bello,63,16.26,106,652
99,99,Peter Malnati,91,16.11,149,925
100,100,Jimmy Walker,68,16.08,114,709
101,101,Luke List,102,16.03,169,"1,054"
102,102,Jim Herman,77,16.02,129,805
103,103,Ryan Brehm,83,16.01,135,843
104,104,Graeme McDowell,56,16.00,96,600
105,105,Brian Campbell,55,15.90,87,547
106,106,Brian Gay,82,15.88,138,869
T107,T107,Martin Flores,88,15.86,140,883
T107,T107,J.J. Spaun,92,15.86,148,933
109,109,Whee Kim,74,15.82,124,784
110,110,Matt Every,76,15.79,120,760
T111,T111,Wesley Bryan,95,15.73,157,998
T111,T111,Fabián Gómez,61,15.73,101,642
113,113,Jonas Blixt,74,15.72,119,757
114,114,Søren Kjeldsen,58,15.71,82,522
115,115,Rick Lamb,54,15.68,85,542
116,116,Retief Goosen,52,15.65,77,492
117,117,Charles Howell III,86,15.63,140,896
118,118,Bubba Watson,71,15.62,107,685
T119,T119,Patrick Cantlay,52,15.58,79,507
T119,T119,Seung-Yul Noh,91,15.58,146,937
T119,T119,Tim Wilkinson,64,15.58,98,629
T122,T122,Cameron Percy,71,15.56,110,707
T122,T122,Richy Werenski,81,15.56,124,797
124,124,D.A. Points,68,15.55,114,733
T125,T125,Ian Poulter,72,15.54,115,740
T125,T125,Charl Schwartzel,63,15.54,101,650
127,127,Bill Haas,92,15.52,144,928
128,128,Ken Duke,77,15.51,119,767
129,129,John Huh,92,15.49,149,962
130,130,Zac Blair,105,15.47,166,"1,073"
131,131,Nick Watney,75,15.46,117,757
132,132,Mackenzie Hughes,106,15.45,175,"1,133"
133,133,Bryson DeChambeau,91,15.44,151,978
134,134,Jhonattan Vegas,95,15.38,151,982
135,135,Matt Jones,64,15.33,94,613
T136,T136,Steven Alker,69,15.32,104,679
T136,T136,Patrick Rodgers,76,15.32,125,816
138,138,James Hahn,96,15.27,158,"1,035"
T139,T139,Louis Oosthuizen,69,15.24,103,676
T139,T139,Jonathan Randolph,68,15.24,103,676
141,141,Michael Thompson,60,15.21,92,605
T142,T142,Chad Campbell,97,15.16,161,"1,062"
T142,T142,Johnson Wagner,71,15.16,104,686
144,144,Ryo Ishikawa,56,15.03,89,592
T145,T145,Dominic Bozzelli,69,15.02,105,699
T145,T145,Cameron Tringale,89,15.02,135,899
147,147,Ricky Barnes,100,15.01,149,993
T148,T148,Brad Fritsch,56,14.95,83,555
T148,T148,Tom Hoge,54,14.95,74,495
150,150,Brett Drewitt,57,14.94,85,569
151,151,William McGirt,89,14.93,136,911
T152,T152,Carl Pettersson,63,14.91,95,637
T152,T152,Tyrone Van Aswegen,105,14.91,157,"1,053"
154,154,Chad Collins,66,14.89,99,665
155,155,Brian Stuard,93,14.87,139,935
156,156,Julián Etulain,68,14.83,101,681
157,157,Mark Anderson,54,14.77,82,555
158,158,Gonzalo Fernandez-Castaño,63,14.76,89,603
159,159,Greg Chalmers,75,14.73,113,767
160,160,Kelly Kraft,75,14.69,114,776
