Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Mark Madsen (13438172),Mark Madsen,13438172,F,9500,Belluardo@Madsen 09/28/2019 11:00AM ET,Madsen,0
F,Macy Chiasson (13438164),Macy Chiasson,13438164,F,9400,Chiasson@Lansberg 09/28/2019 11:00AM ET,Chiasson,107
F,Jack Hermansson (13438166),Jack Hermansson,13438166,F,9200,Cannonier@Hermansson 09/28/2019 11:00AM ET,Hermansson,85.39
F,Michal Oleksiejczuk (13438158),Michal Oleksiejczuk,13438158,F,9100,Oleksiejczuk@Saint Preux 09/28/2019 11:00AM ET,Oleksiejczuk,104
F,Ismail Naurdiev (13438174),Ismail Naurdiev,13438174,F,9000,Bahadurzada@Naurdiev 09/28/2019 11:00AM ET,Naurdiev,53.5
F,Jack Shore (13438178),Jack Shore,13438178,F,8900,Hernandez@Shore 09/28/2019 11:00AM ET,Shore,0
F,Alex Oliveira (13438170),Alex Oliveira,13438170,F,8800,Dalby@Oliveira 09/28/2019 11:00AM ET,Oliveira,66.27
F,Brandon Davis (13438180),Brandon Davis,13438180,F,8700,Chikadze@Davis 09/28/2019 11:00AM ET,Davis,45.5
F,Makhmud Muradov (13438168),Makhmud Muradov,13438168,F,8600,Di Chirico@Muradov 09/28/2019 11:00AM ET,Muradov,0
F,Marc Diakiese (13438176),Marc Diakiese,13438176,F,8500,Diakiese@Vannata 09/28/2019 11:00AM ET,Diakiese,63.57
F,Khalil Rountree Jr. (13438162),Khalil Rountree Jr.,13438162,F,8400,Cutelaba@Rountree Jr. 09/28/2019 11:00AM ET,Rountree Jr.,58.69
F,Gilbert Burns (13438156),Gilbert Burns,13438156,F,8300,Burns@Nelson 09/28/2019 11:00AM ET,Burns,77.92
F,Alen Amedovski (13438160),Alen Amedovski,13438160,F,8200,Amedovski@Phillips 09/28/2019 11:00AM ET,Amedovski,8
F,John Phillips (13438161),John Phillips,13438161,F,8000,Amedovski@Phillips 09/28/2019 11:00AM ET,Phillips,18.83
F,Gunnar Nelson (13438157),Gunnar Nelson,13438157,F,7900,Burns@Nelson 09/28/2019 11:00AM ET,Nelson,71.71
F,Ion Cutelaba (13438163),Ion Cutelaba,13438163,F,7800,Cutelaba@Rountree Jr. 09/28/2019 11:00AM ET,Cutelaba,67.58
F,Lando Vannata (13438177),Lando Vannata,13438177,F,7700,Diakiese@Vannata 09/28/2019 11:00AM ET,Vannata,66.5
F,Alessio Di Chirico (13438169),Alessio Di Chirico,13438169,F,7600,Di Chirico@Muradov 09/28/2019 11:00AM ET,Di Chirico,57.17
F,Giga Chikadze (13438181),Giga Chikadze,13438181,F,7500,Chikadze@Davis 09/28/2019 11:00AM ET,Chikadze,0
F,Nicolas Dalby (13438171),Nicolas Dalby,13438171,F,7400,Dalby@Oliveira 09/28/2019 11:00AM ET,Dalby,44.25
F,Nohelin Hernandez (13438179),Nohelin Hernandez,13438179,F,7300,Hernandez@Shore 09/28/2019 11:00AM ET,Hernandez,19
F,Siyar Bahadurzada (13438175),Siyar Bahadurzada,13438175,F,7200,Bahadurzada@Naurdiev 09/28/2019 11:00AM ET,Bahadurzada,73.43
F,Ovince Saint Preux (13438159),Ovince Saint Preux,13438159,F,7100,Oleksiejczuk@Saint Preux 09/28/2019 11:00AM ET,Saint Preux,61.10
F,Jared Cannonier (13438167),Jared Cannonier,13438167,F,7000,Cannonier@Hermansson 09/28/2019 11:00AM ET,Cannonier,56.33
F,Lina Lansberg (13438165),Lina Lansberg,13438165,F,6800,Chiasson@Lansberg 09/28/2019 11:00AM ET,Lansberg,41.67
F,Danilo Belluardo (13438173),Danilo Belluardo,13438173,F,6700,Belluardo@Madsen 09/28/2019 11:00AM ET,Belluardo,22.5
