Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Makhmud Muradov (13899741),Makhmud Muradov,13899741,F,9400,Muradov@Smith 12/07/2019 05:45PM ET,Muradov,57
F,Joe Solecki (13899733),Joe Solecki,13899733,F,9300,Solecki@Wiman 12/07/2019 07:00PM ET,Solecki,0
F,Billy Quarantillo (13899737),Billy Quarantillo,13899737,F,9200,Kilburn@Quarantillo 12/07/2019 07:00PM ET,Quarantillo,0
F,Virna Jandiroba (13899727),Virna Jandiroba,13899727,F,9100,Jandiroba@Martin 12/07/2019 05:45PM ET,Jandiroba,48.5
F,Tim Means (13899735),Tim Means,13899735,F,9000,Alves@Means 12/07/2019 07:00PM ET,Means,62.55
F,Song Yadong (13899731),Song Yadong,13899731,F,8900,Stamann@Yadong 12/07/2019 07:00PM ET,Yadong,101.75
F,Aspen Ladd (13899719),Aspen Ladd,13899719,F,8700,Kunitskaya@Ladd 12/07/2019 07:00PM ET,Ladd,77.38
F,Ben Rothwell (13899723),Ben Rothwell,13899723,F,8600,Rothwell@Struve 12/07/2019 07:00PM ET,Rothwell,61.33
F,Rob Font (13899739),Rob Font,13899739,F,8500,Font@Simon 12/07/2019 07:00PM ET,Font,80.67
F,Marina Rodriguez (13899721),Marina Rodriguez,13899721,F,8400,Calvillo@Rodriguez 12/07/2019 07:00PM ET,Rodriguez,72
F,Alistair Overeem (13899725),Alistair Overeem,13899725,F,8300,Overeem@Rozenstruik 12/07/2019 07:00PM ET,Overeem,61.84
F,Matt Sayles (13899729),Matt Sayles,13899729,F,8200,Mitchell@Sayles 12/07/2019 07:00PM ET,Sayles,67.5
F,Bryce Mitchell (13899730),Bryce Mitchell,13899730,F,8000,Mitchell@Sayles 12/07/2019 07:00PM ET,Mitchell,55.25
F,Jairzinho Rozenstruik (13899726),Jairzinho Rozenstruik,13899726,F,7900,Overeem@Rozenstruik 12/07/2019 07:00PM ET,Rozenstruik,99.67
F,Cynthia Calvillo (13899722),Cynthia Calvillo,13899722,F,7800,Calvillo@Rodriguez 12/07/2019 07:00PM ET,Calvillo,80.92
F,Ricky Simon (13899740),Ricky Simon,13899740,F,7700,Font@Simon 12/07/2019 07:00PM ET,Simon,61.5
F,Stefan Struve (13899724),Stefan Struve,13899724,F,7600,Rothwell@Struve 12/07/2019 07:00PM ET,Struve,59.93
F,Yana Kunitskaya (13899720),Yana Kunitskaya,13899720,F,7500,Kunitskaya@Ladd 12/07/2019 07:00PM ET,Kunitskaya,63.83
F,Cody Stamann (13899732),Cody Stamann,13899732,F,7300,Stamann@Yadong 12/07/2019 07:00PM ET,Stamann,75.3
F,Thiago Alves (13899736),Thiago Alves,13899736,F,7200,Alves@Means 12/07/2019 07:00PM ET,Alves,65.21
F,Mallory Martin (13899728),Mallory Martin,13899728,F,7100,Jandiroba@Martin 12/07/2019 05:45PM ET,Martin,0
F,Jacob Kilburn (13899738),Jacob Kilburn,13899738,F,7000,Kilburn@Quarantillo 12/07/2019 07:00PM ET,Kilburn,0
F,Matt Wiman (13899734),Matt Wiman,13899734,F,6900,Solecki@Wiman 12/07/2019 07:00PM ET,Wiman,67.66
F,Trevor Smith (13899742),Trevor Smith,13899742,F,6800,Muradov@Smith 12/07/2019 05:45PM ET,Smith,53.77
