Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Petr Yan (13941434),Petr Yan,13941434,F,9400,Faber@Yan 12/14/2019 08:00PM ET,Yan,100.5
F,Matt Brown (13941422),Matt Brown,13941422,F,9300,Brown@Saunders 12/14/2019 08:00PM ET,Brown,67.40
F,Amanda Nunes (13941420),Amanda Nunes,13941420,F,9200,de Randamie@Nunes 12/14/2019 08:00PM ET,Nunes,98.67
F,Geoff Neal (13941440),Geoff Neal,13941440,F,9100,Neal@Perry 12/14/2019 08:00PM ET,Neal,102.12
F,Marlon Moraes (13941432),Marlon Moraes,13941432,F,9000,Aldo@Moraes 12/14/2019 08:00PM ET,Moraes,72.67
F,Kamaru Usman (13941430),Kamaru Usman,13941430,F,8900,Covington@Usman 12/14/2019 08:00PM ET,Usman,109.7
F,Ketlen Vieira (13941438),Ketlen Vieira,13941438,F,8800,Aldana@Vieira 12/14/2019 08:00PM ET,Vieira,76.75
F,Max Holloway (13941424),Max Holloway,13941424,F,8700,Holloway@Volkanovski 12/14/2019 08:00PM ET,Holloway,92.26
F,Viviane Araujo (13941418),Viviane Araujo,13941418,F,8600,Araujo@Eye 12/14/2019 06:15PM ET,Araujo,91.5
F,Kai Kara-France (13941426),Kai Kara-France,13941426,F,8500,Kara-France@Moreno 12/14/2019 06:15PM ET,Kara-France,87.5
F,Ian Heinisch (13941442),Ian Heinisch,13941442,F,8400,Akhmedov@Heinisch 12/14/2019 08:00PM ET,Heinisch,58
F,Chase Hooper (13941436),Chase Hooper,13941436,F,8300,Hooper@Teymur 12/14/2019 06:15PM ET,Hooper,0
F,Punahele Soriano (13941428),Punahele Soriano,13941428,F,8200,Piechota@Soriano 12/14/2019 06:15PM ET,Soriano,0
F,Oskar Piechota (13941429),Oskar Piechota,13941429,F,8000,Piechota@Soriano 12/14/2019 06:15PM ET,Piechota,61.5
F,Daniel Teymur (13941437),Daniel Teymur,13941437,F,7900,Hooper@Teymur 12/14/2019 06:15PM ET,Teymur,31.12
F,Omari Akhmedov (13941443),Omari Akhmedov,13941443,F,7800,Akhmedov@Heinisch 12/14/2019 08:00PM ET,Akhmedov,61.09
F,Brandon Moreno (13941427),Brandon Moreno,13941427,F,7700,Kara-France@Moreno 12/14/2019 06:15PM ET,Moreno,67.5
F,Jessica Eye (13941419),Jessica Eye,13941419,F,7600,Araujo@Eye 12/14/2019 06:15PM ET,Eye,42.41
F,Alexander Volkanovski (13941425),Alexander Volkanovski,13941425,F,7500,Holloway@Volkanovski 12/14/2019 08:00PM ET,Volkanovski,107.21
F,Irene Aldana (13941439),Irene Aldana,13941439,F,7400,Aldana@Vieira 12/14/2019 08:00PM ET,Aldana,71.64
F,Colby Covington (13941431),Colby Covington,13941431,F,7300,Covington@Usman 12/14/2019 08:00PM ET,Covington,102.36
F,Jose Aldo (13941433),Jose Aldo,13941433,F,7200,Aldo@Moraes 12/14/2019 08:00PM ET,Aldo,69.54
F,Mike Perry (13941441),Mike Perry,13941441,F,7100,Neal@Perry 12/14/2019 08:00PM ET,Perry,67.36
F,Germaine de Randamie (13941421),Germaine de Randamie,13941421,F,7000,de Randamie@Nunes 12/14/2019 08:00PM ET,de Randamie,67.86
F,Ben Saunders (13941423),Ben Saunders,13941423,F,6900,Brown@Saunders 12/14/2019 08:00PM ET,Saunders,50.11
F,Urijah Faber (13941435),Urijah Faber,13941435,F,6800,Faber@Yan 12/14/2019 08:00PM ET,Faber,69.26
