Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Charles Oliveira (13753111),Charles Oliveira,13753111,F,9400,Gordon@Oliveira 11/16/2019 05:00PM ET,Oliveira,67.19
F,Mauricio Rua (13753105),Mauricio Rua,13753105,F,9300,Craig@Rua 11/16/2019 05:00PM ET,Rua,67.79
F,Ricardo Ramos (13753113),Ricardo Ramos,13753113,F,9200,Garagorri@Ramos 11/16/2019 05:00PM ET,Ramos,60.5
F,Douglas Silva de Andrade (13753109),Douglas Silva de Andrade,13753109,F,9100,Barao@Silva de Andrade 11/16/2019 05:00PM ET,Silva de Andrade,50.25
F,James Krause (13753097),James Krause,13753097,F,9000,Krause@Moraes 11/16/2019 05:00PM ET,Krause,73.3
F,Jan Blachowicz (13753095),Jan Blachowicz,13753095,F,8900,Blachowicz@Souza 11/16/2019 05:00PM ET,Blachowicz,64.92
F,Tracy Cortez (13753103),Tracy Cortez,13753103,F,8800,Cortez@Melo 11/16/2019 05:00PM ET,Cortez,0
F,Markus Perez (13753117),Markus Perez,13753117,F,8600,Perez@Turman 11/16/2019 05:00PM ET,Perez,62.5
F,Francisco Trinaldo (13753099),Francisco Trinaldo,13753099,F,8400,Green@Trinaldo 11/16/2019 05:00PM ET,Trinaldo,63.21
F,Warlley Alves (13753107),Warlley Alves,13753107,F,8300,Alves@Brown 11/16/2019 05:00PM ET,Alves,63.9
F,Andre Muniz (13753115),Andre Muniz,13753115,F,8200,Arroyo@Muniz 11/16/2019 05:00PM ET,Muniz,0
F,Antonio Arroyo (13753116),Antonio Arroyo,13753116,F,8000,Arroyo@Muniz 11/16/2019 05:00PM ET,Arroyo,0
F,Randy Brown (13753108),Randy Brown,13753108,F,7900,Alves@Brown 11/16/2019 05:00PM ET,Brown,54.44
F,Bobby Green (13753100),Bobby Green,13753100,F,7800,Green@Trinaldo 11/16/2019 05:00PM ET,Green,64.25
F,Ariane Lipski (13753102),Ariane Lipski,13753102,F,7700,de Padua@Lipski 11/16/2019 05:00PM ET,Lipski,34.25
F,Wellington Turman (13753118),Wellington Turman,13753118,F,7600,Perez@Turman 11/16/2019 05:00PM ET,Turman,53.5
F,Vanessa Melo (13753104),Vanessa Melo,13753104,F,7400,Cortez@Melo 11/16/2019 05:00PM ET,Melo,34
F,Jacare Souza (13753096),Jacare Souza,13753096,F,7300,Blachowicz@Souza 11/16/2019 05:00PM ET,Souza,80.92
F,Sergio Moraes (13753098),Sergio Moraes,13753098,F,7200,Krause@Moraes 11/16/2019 05:00PM ET,Moraes,53.54
F,Renan Barao (13753110),Renan Barao,13753110,F,7100,Barao@Silva de Andrade 11/16/2019 05:00PM ET,Barao,67.44
F,Eduardo Garagorri (13753114),Eduardo Garagorri,13753114,F,7000,Garagorri@Ramos 11/16/2019 05:00PM ET,Garagorri,70.5
F,Paul Craig (13753106),Paul Craig,13753106,F,6900,Craig@Rua 11/16/2019 05:00PM ET,Craig,50.5
F,Jared Gordon (13753112),Jared Gordon,13753112,F,6800,Gordon@Oliveira 11/16/2019 05:00PM ET,Gordon,85
F,Isabela de Padua (13772381),Isabela de Padua,13772381,F,6700,de Padua@Lipski 11/16/2019 05:00PM ET,de Padua,0
