Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Magomed Ankalaev (13707540),Magomed Ankalaev,13707540,F,9400,Ankalaev@Lungiambula 11/09/2019 11:00AM ET,Ankalaev,73.5
F,Abubakar Nurmagomedov (13707560),Abubakar Nurmagomedov,13707560,F,9300,Nurmagomedov@Zawada 11/09/2019 11:00AM ET,Nurmagomedov,0
F,Alexander Volkov (13707550),Alexander Volkov,13707550,F,9200,Hardy@Volkov 11/09/2019 11:00AM ET,Volkov,88.5
F,Zabit Magomedsharipov (13707552),Zabit Magomedsharipov,13707552,F,9100,Kattar@Magomedsharipov 11/09/2019 11:00AM ET,Magomedsharipov,117.2
F,Grigorii Popov (13707548),Grigorii Popov,13707548,F,9000,Grant@Popov 11/09/2019 11:00AM ET,Popov,27.5
F,Shamil Gamzatov (13707542),Shamil Gamzatov,13707542,F,8900,Abreu@Gamzatov 11/09/2019 11:00AM ET,Gamzatov,0
F,Zelim Imadaev (13707556),Zelim Imadaev,13707556,F,8800,Imadaev@Roberts 11/09/2019 11:00AM ET,Imadaev,32
F,Khadis Ibragimov (13710013),Khadis Ibragimov,13710013,F,8700,Herman@Ibragimov 11/09/2019 11:00AM ET,Ibragimov,52
F,Rustam Khabilov (13707554),Rustam Khabilov,13707554,F,8600,Khabilov@Khandozhko 11/09/2019 11:00AM ET,Khabilov,66.46
F,Roosevelt Roberts (13707564),Roosevelt Roberts,13707564,F,8500,Roberts@Yakovlev 11/09/2019 11:00AM ET,Roberts,71.33
F,Ramazan Emeev (13707558),Ramazan Emeev,13707558,F,8400,Emeev@Martin 11/09/2019 11:00AM ET,Emeev,63.17
F,Roman Kopylov (13707546),Roman Kopylov,13707546,F,8300,Kopylov@Roberson 11/09/2019 11:00AM ET,Kopylov,0
F,Jessica-Rose Clark (13707562),Jessica-Rose Clark,13707562,F,8200,Clark@Kianzad 11/09/2019 11:00AM ET,Clark,71.5
F,Pannie Kianzad (13707563),Pannie Kianzad,13707563,F,8000,Clark@Kianzad 11/09/2019 11:00AM ET,Kianzad,15.5
F,Karl Roberson (13707547),Karl Roberson,13707547,F,7900,Kopylov@Roberson 11/09/2019 11:00AM ET,Roberson,55.1
F,Anthony Rocco Martin (13707559),Anthony Rocco Martin,13707559,F,7800,Emeev@Martin 11/09/2019 11:00AM ET,Martin,54.88
F,Alexander Yakovlev (13707565),Alexander Yakovlev,13707565,F,7700,Roberts@Yakovlev 11/09/2019 11:00AM ET,Yakovlev,49.57
F,Sergey Khandozhko (13707555),Sergey Khandozhko,13707555,F,7600,Khabilov@Khandozhko 11/09/2019 11:00AM ET,Khandozhko,78
F,Ed Herman (13707545),Ed Herman,13707545,F,7500,Herman@Ibragimov 11/09/2019 11:00AM ET,Herman,61.61
F,Danny Roberts (13707557),Danny Roberts,13707557,F,7400,Imadaev@Roberts 11/09/2019 11:00AM ET,Roberts,54.17
F,Klidson Abreu (13707543),Klidson Abreu,13707543,F,7300,Abreu@Gamzatov 11/09/2019 11:00AM ET,Abreu,33.75
F,Davey Grant (13707549),Davey Grant,13707549,F,7200,Grant@Popov 11/09/2019 11:00AM ET,Grant,31
F,Calvin Kattar (13707553),Calvin Kattar,13707553,F,7100,Kattar@Magomedsharipov 11/09/2019 11:00AM ET,Kattar,83.7
F,Greg Hardy (13707551),Greg Hardy,13707551,F,7000,Hardy@Volkov 11/09/2019 11:00AM ET,Hardy,61.62
F,David Zawada (13707561),David Zawada,13707561,F,6900,Nurmagomedov@Zawada 11/09/2019 11:00AM ET,Zawada,45
F,Dalcha Lungiambula (13707541),Dalcha Lungiambula,13707541,F,6800,Ankalaev@Lungiambula 11/09/2019 11:00AM ET,Lungiambula,103
