Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Megan Anderson (13492871),Megan Anderson,13492871,F,9400,Anderson@Fairn dos Santos 10/05/2019 06:45PM ET,Anderson,37
F,Tai Tuivasa (13492857),Tai Tuivasa,13492857,F,9300,Spivac@Tuivasa 10/05/2019 06:45PM ET,Tuivasa,66
F,Jake Matthews (13492865),Jake Matthews,13492865,F,9100,Akman@Matthews 10/05/2019 06:45PM ET,Matthews,64.54
F,Maki Pitolo (13492867),Maki Pitolo,13492867,F,9000,Pitolo@Potter 10/05/2019 06:45PM ET,Pitolo,0
F,Khalid Taha (13492873),Khalid Taha,13492873,F,8900,Silva@Taha 10/05/2019 06:45PM ET,Taha,64.25
F,Ji Yeon Kim (13492855),Ji Yeon Kim,13492855,F,8700,Kassem@Kim 10/05/2019 06:45PM ET,Kim,44.25
F,Brad Riddell (13492869),Brad Riddell,13492869,F,8600,Mullarkey@Riddell 10/05/2019 06:45PM ET,Riddell,0
F,Dan Hooker (13492863),Dan Hooker,13492863,F,8500,Hooker@Iaquinta 10/05/2019 06:45PM ET,Hooker,79
F,Dhiego Lima (13492861),Dhiego Lima,13492861,F,8400,Jumeau@Lima 10/05/2019 06:45PM ET,Lima,39.19
F,Justin Tafa (13492859),Justin Tafa,13492859,F,8300,De Castro@Tafa 10/05/2019 06:45PM ET,Tafa,0
F,Robert Whittaker (13492854),Robert Whittaker,13492854,F,8200,Adesanya@Whittaker 10/05/2019 06:45PM ET,Whittaker,81.69
F,Israel Adesanya (13492853),Israel Adesanya,13492853,F,8000,Adesanya@Whittaker 10/05/2019 06:45PM ET,Adesanya,95.58
F,Yorgan De Castro (13492860),Yorgan De Castro,13492860,F,7900,De Castro@Tafa 10/05/2019 06:45PM ET,De Castro,0
F,Luke Jumeau (13492862),Luke Jumeau,13492862,F,7800,Jumeau@Lima 10/05/2019 06:45PM ET,Jumeau,47
F,Al Iaquinta (13492864),Al Iaquinta,13492864,F,7700,Hooker@Iaquinta 10/05/2019 06:45PM ET,Iaquinta,70.5
F,Jamie Mullarkey (13492870),Jamie Mullarkey,13492870,F,7600,Mullarkey@Riddell 10/05/2019 06:45PM ET,Mullarkey,0
F,Nadia Kassem (13492856),Nadia Kassem,13492856,F,7500,Kassem@Kim 10/05/2019 06:45PM ET,Kassem,35.75
F,Bruno Silva (13492874),Bruno Silva,13492874,F,7300,Silva@Taha 10/05/2019 06:45PM ET,Silva,0
F,Callan Potter (13492868),Callan Potter,13492868,F,7200,Pitolo@Potter 10/05/2019 06:45PM ET,Potter,1.5
F,Rostem Akman (13492866),Rostem Akman,13492866,F,7100,Akman@Matthews 10/05/2019 06:45PM ET,Akman,32.5
F,Serghei Spivac (13492858),Serghei Spivac,13492858,F,6900,Spivac@Tuivasa 10/05/2019 06:45PM ET,Spivac,0.5
F,Zarah Fairn dos Santos (13492872),Zarah Fairn dos Santos,13492872,F,6800,Anderson@Fairn dos Santos 10/05/2019 06:45PM ET,Fairn dos Santos,0
