RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Phil Mickelson,24,26.10,65,249
2,2,Tyrrell Hatton,22,24.35,56,230
3,4,Rafa Cabrera Bello,28,23.69,68,287
4,6,Jason Day,20,23.65,48,203
5,8,Ryan Palmer,30,23.49,74,315
6,9,Justin Thomas,32,23.30,82,352
7,5,Rickie Fowler,28,23.03,70,304
8,7,Rory McIlroy,24,23.02,58,252
9,12,Cameron Smith,34,22.53,82,364
10,13,Patrick Cantlay,26,22.43,61,272
T11,11,Si Woo Kim,38,22.17,88,397
T11,19,Gary Woodland,39,22.17,94,424
13,3,Justin Rose,16,21.88,35,160
14,16,J.B. Holmes,31,21.81,70,321
15,15,Abraham Ancer,38,21.67,88,406
16,14,Charles Howell III,42,21.65,97,448
17,10,Jason Kokrak,36,21.58,82,380
18,22,Talor Gooch,25,21.51,57,265
19,23,Andrew Putnam,32,21.49,72,335
20,20,Stewart Cink,25,21.48,58,270
21,21,Dominic Bozzelli,33,21.08,74,351
22,29,"Ted Potter, Jr.",33,20.96,74,353
23,25,Marc Leishman,32,20.88,71,340
24,32,Jonathan Byrd,23,20.85,49,235
T25,24,Bryson DeChambeau,24,20.83,55,264
T25,18,Aaron Wise,27,20.83,60,288
27,17,Brooks Koepka,22,20.76,49,236
28,34,Webb Simpson,24,20.74,56,270
29,35,Chez Reavie,42,20.63,91,441
30,38,Tony Finau,30,20.50,65,317
31,26,Louis Oosthuizen,16,20.48,34,166
32,39,Chase Wright,36,20.46,80,391
33,28,Chesson Hadley,36,20.42,77,377
T34,42,Wyndham Clark,39,20.34,84,413
T34,36,Scott Piercy,44,20.34,95,467
36,33,Cameron Champ,41,20.27,89,439
37,46,Xander Schauffele,32,20.24,68,336
38,47,Shubhankar Sharma,16,20.12,33,164
39,30,Beau Hossler,38,20.10,79,393
40,44,Danny Lee,34,20.00,74,370
41,27,Byeong Hun An,28,19.93,59,296
42,31,Corey Conners,28,19.87,59,297
43,51,Keegan Bradley,36,19.79,76,384
44,40,Matt Wallace,16,19.77,34,172
45,52,Jonas Blixt,36,19.74,76,385
46,53,Sungjae Im,49,19.69,103,523
T47,54,Brandon Harkins,37,19.65,78,397
T47,T83,Keith Mitchell,37,19.65,78,397
49,55,Jon Rahm,28,19.59,58,296
50,57,David Hearn,25,19.39,51,263
51,59,Matt Kuchar,32,19.37,68,351
52,62,Brian Gay,45,19.30,94,487
53,61,Hank Lebioda,29,19.29,60,311
54,45,Roger Sloan,39,19.28,80,415
55,48,Lucas Glover,34,19.22,69,359
56,65,Jim Furyk,20,19.18,42,219
57,58,Vaughn Taylor,38,19.16,78,407
T58,T66,Patton Kizzire,35,19.11,73,382
T58,71,Anirban Lahiri,29,19.11,60,314
60,T69,Robert Garrigus,20,19.02,39,205
61,T49,Patrick Reed,28,18.98,56,295
62,72,Dustin Johnson,20,18.96,40,211
63,73,Curtis Luck,28,18.90,55,291
64,41,Nate Lashley,26,18.87,50,265
65,60,C.T. Pan,38,18.84,75,398
66,78,Luke List,29,18.83,58,308
67,74,Brian Stuard,44,18.76,88,469
68,75,Peter Uihlein,33,18.73,65,347
69,77,Jordan Spieth,24,18.68,48,257
70,T69,Harold Varner III,36,18.56,72,388
71,81,Martin Piller,20,18.54,38,205
72,T83,Roberto Castro,34,18.49,66,357
73,T66,Sam Ryder,40,18.48,78,422
74,68,Joaquin Niemann,40,18.46,79,428
75,56,J.T. Poston,44,18.43,87,472
76,86,Nick Taylor,38,18.36,74,403
77,89,Cameron Davis,38,18.20,73,401
78,76,Michael Thompson,32,18.18,62,341
79,90,Nicholas Lindheim,14,18.06,26,144
80,97,Adam Hadwin,38,18.05,72,399
81,93,John Chin,28,17.99,52,289
82,96,Whee Kim,41,17.91,77,430
83,T63,Johnson Wagner,33,17.87,62,347
84,T49,Matt Every,18,17.84,33,185
85,87,Zach Johnson,24,17.80,47,264
86,98,Josh Teater,27,17.79,50,281
T87,T99,Tom Hoge,40,17.73,75,423
T87,T99,Kyoung-Hoon Lee,40,17.73,75,423
89,79,Scott Langley,38,17.69,72,407
90,102,Russell Henley,32,17.66,62,351
T91,101,Kevin Kisner,30,17.65,57,323
T91,103,Sanghyun Park,15,17.65,27,153
T93,T104,Russell Knox,34,17.63,64,363
T93,T104,Satoshi Kodaira,32,17.63,61,346
95,106,D.J. Trahan,19,17.62,34,193
96,82,Ian Poulter,24,17.58,45,256
97,110,Jim Herman,21,17.54,40,228
T98,T91,Martin Laird,32,17.52,58,331
T98,111,Jamie Lovemark,22,17.52,41,234
100,112,Paul Casey,30,17.46,55,315
101,T63,Aaron Baddeley,31,17.45,56,321
102,113,Adam Scott,23,17.43,42,241
T103,116,Tommy Fleetwood,20,17.39,36,207
T103,T137,Adam Schenk,50,17.39,92,529
T103,114,Nick Watney,37,17.39,68,391
106,115,Shawn Stefani,31,17.38,57,328
107,117,Cameron Tringale,28,17.30,50,289
T108,88,Anders Albertson,35,17.25,64,371
T108,T107,Ryan Armour,40,17.25,74,429
110,T107,J.J. Spaun,43,17.15,77,449
111,121,Peter Malnati,31,17.12,57,333
112,123,Emiliano Grillo,38,17.08,69,404
T113,T127,Rod Pampling,22,17.03,39,229
