RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,T1,Rickie Fowler,44,4,468,2
T2,T5,Paul Casey,46,3,435,2
T2,T1,Roberto DÃ­az,45,3,423,3
T2,T1,Danny Lee,52,3,532,2
T2,T1,Chez Reavie,61,3,567,3
T6,T5,Jonas Blixt,54,2,545,1
T6,T5,Sam Burns,54,2,545,1
T6,T5,Patrick Cantlay,41,2,376,1
T6,T21,Jason Day,39,2,345,1
T6,T5,Tommy Fleetwood,39,2,331,1
T6,T5,Chesson Hadley,50,2,497,1
T6,T5,Charles Howell III,57,2,572,1
T6,T5,Patton Kizzire,52,2,532,2
T6,T5,Rory McIlroy,40,2,376,1
T6,T5,Keith Mitchell,54,2,543,
T6,T5,Ollie Schniederjans,55,2,559,1
T6,T5,Adam Scott,33,2,321,1
T6,T5,Webb Simpson,45,2,456,1
T6,T5,Roger Sloan,51,2,535,1
T6,T5,Kevin Streelman,55,2,555,2
T6,,Jhonattan Vegas,52,2,526,1
T6,T5,Nick Watney,55,2,533,1
T23,T21,Byeong Hun An,44,1,431,
T23,T21,Abraham Ancer,53,1,508,
T23,T21,Aaron Baddeley,43,1,443,1
T23,T21,Scott Brown,56,1,553,1
T23,T21,Rafa Cabrera Bello,45,1,427,
T23,T21,Austin Cook,38,1,353,
T23,T21,Tyler Duncan,58,1,591,
T23,T21,Harris English,64,1,658,
T23,T21,Matthew Fitzpatrick,30,1,277,
T23,,Dylan Frittelli,45,1,445,1
T23,T21,Brice Garnett,55,1,563,1
T23,T21,Lucas Glover,54,1,521,
T23,T21,Bill Haas,46,1,441,
T23,T21,James Hahn,34,1,355,
T23,T21,David Hearn,37,1,343,1
T23,T21,Russell Henley,50,1,491,1
T23,,J.J. Henry,34,1,313,
T23,T21,Max Homa,49,1,497,1
T23,T21,Beau Hossler,52,1,537,1
T23,T21,Freddie Jacobson,35,1,351,
T23,T21,Dustin Johnson,39,1,371,
T23,T21,Kyle Jones,45,1,453,1
T23,T21,Si Woo Kim,57,1,539,1
T23,T21,Michael Kim,43,1,425,
T23,T21,Kevin Kisner,57,1,483,1
T23,T21,Hank Lebioda,49,1,471,1
T23,,Kyoung-Hoon Lee,61,1,600,1
T23,T21,Haotong Li,24,1,204,1
T23,T21,Adam Long,42,1,439,1
T23,999,Tom Lovelady,23,1,213,1
T23,T21,Peter Malnati,49,1,475,1
T23,T21,Phil Mickelson,35,1,331,
T23,T21,Francesco Molinari,33,1,270,
T23,T21,Ryan Moore,44,1,454,1
T23,T21,Grayson Murray,36,1,374,
T23,T21,Kevin Na,44,1,408,1
T23,T21,Alex Noren,33,1,316,
T23,T21,Louis Oosthuizen,35,1,282,1
T23,T21,C.T. Pan,54,1,538,1
T23,T21,J.T. Poston,64,1,636,
T23,T21,Patrick Reed,47,1,437,1
T23,T21,Seth Reeves,46,1,463,1
T23,T21,Patrick Rodgers,44,1,467,1
T23,T21,Justin Rose,30,1,264,1
T23,T21,Sam Ryder,48,1,500,1
T23,T21,Rory Sabbatini,59,1,577,
T23,T21,Xander Schauffele,45,1,440,1
T23,T21,Adam Schenk,68,1,693,1
T23,T21,Charl Schwartzel,34,1,331,1
T23,T21,J.J. Spaun,54,1,523,1
T23,T21,Kyle Stanley,49,1,464,
T23,T21,Shawn Stefani,49,1,468,1
T23,T21,Sepp Straka,40,1,387,1
T23,T21,Robert Streb,52,1,504,1
T23,T21,Brian Stuard,64,1,629,1
T23,T21,Adam Svensson,47,1,471,1
T23,T21,Nick Taylor,62,1,607,
T23,T21,D.J. Trahan,29,1,275,1
T23,T21,Martin Trainer,44,1,455,
T23,T21,Peter Uihlein,51,1,507,1
T23,T21,Harold Varner III,52,1,528,1
T23,T21,Matt Wallace,27,1,254,
T23,T21,Richy Werenski,57,1,579,1
T23,T21,Gary Woodland,55,1,555,
