RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Justin Thomas,32,66.00,66,100
2,2,Gary Woodland,39,63.49,80,126
3,T5,Bryson DeChambeau,24,60.53,46,76
4,T5,Adam Scott,23,60.00,48,80
T5,8,Wyndham Clark,39,59.09,78,132
T5,12,Rickie Fowler,28,59.09,52,88
7,9,Matt Kuchar,32,59.00,59,100
8,11,Cameron Champ,41,57.97,80,138
9,14,Xander Schauffele,32,57.76,67,116
10,21,Luke List,29,57.14,56,98
11,10,Bubba Watson,22,56.94,41,72
12,15,Troy Merritt,22,56.76,42,74
13,16,Nick Watney,37,56.35,71,126
T14,18,Talor Gooch,25,55.95,47,84
T14,4,Ian Poulter,24,55.95,47,84
16,19,Dominic Bozzelli,33,55.45,61,110
17,13,Si Woo Kim,38,55.22,74,134
18,37,Hudson Swafford,39,54.76,69,126
19,3,Justin Rose,16,54.69,35,64
20,22,Paul Casey,30,54.63,59,108
21,23,D.J. Trahan,19,54.17,39,72
22,48,Adam Hadwin,38,53.79,71,132
23,55,Sung Kang,41,53.73,72,134
24,17,Bud Cauley,33,53.70,58,108
25,T27,Dylan Frittelli,27,53.26,49,92
26,24,Joel Dahmen,40,53.08,69,130
27,26,Matt Every,18,53.03,35,66
T28,T30,Jon Rahm,28,53.00,53,100
T28,T30,Rory Sabbatini,31,53.00,53,100
30,T32,Tony Finau,30,52.94,54,102
31,40,Sam Ryder,40,52.90,73,138
32,34,Davis Love III,23,52.86,37,70
T33,T27,Hideki Matsuyama,32,52.78,57,108
T33,T35,Trey Mullinax,34,52.78,57,108
35,39,Jason Day,20,52.50,42,80
36,41,Hank Lebioda,29,52.13,49,94
37,51,Byeong Hun An,28,52.08,50,96
38,44,Cody Gribble,30,52.00,52,100
39,47,Seth Reeves,34,51.79,58,112
40,T45,Keith Mitchell,37,51.67,62,120
41,T49,Dustin Johnson,20,51.39,37,72
42,T32,Brooks Koepka,22,51.32,39,76
43,43,Sungjae Im,49,51.23,83,162
44,52,Mackenzie Hughes,26,51.19,43,84
45,T49,Rory McIlroy,24,51.14,45,88
46,T57,Kiradech Aphibarnrat,26,51.11,46,90
47,54,Denny McCarthy,31,51.00,51,100
48,53,Michael Thompson,32,50.94,54,106
49,20,Marc Leishman,32,50.89,57,112
50,T87,Roger Sloan,39,50.77,66,130
51,25,Sam Saunders,35,50.43,58,115
T52,T35,Austin Cook,24,50.00,40,80
T52,T57,JuliÃ¡n Etulain,34,50.00,58,116
T52,56,Brian Gay,45,50.00,71,142
T52,T57,Max Homa,33,50.00,53,106
T52,T57,Kelly Kraft,31,50.00,50,100
T52,T57,Tom Lovelady,17,50.00,33,66
T52,T57,Jamie Lovemark,22,50.00,37,74
T52,72,Patrick Reed,28,50.00,50,100
T52,29,Adam Schenk,50,50.00,85,170
T52,T57,Brandt Snedeker,39,50.00,72,144
T52,42,Martin Trainer,32,50.00,56,112
T52,38,Aaron Wise,27,50.00,47,94
64,68,Grayson Murray,28,49.47,47,95
T65,T57,Charles Howell III,42,49.31,71,144
T65,73,J.T. Poston,44,49.31,71,144
67,75,Beau Hossler,38,49.28,68,138
68,69,Stephan Jaeger,37,49.17,59,120
T69,T45,Bill Haas,33,49.11,55,112
T69,T70,Cameron Smith,34,49.11,55,112
71,T100,Rafa Cabrera Bello,28,49.04,51,104
72,T57,Danny Willett,23,48.81,41,84
73,74,SebastiÃ¡n MuÃ±oz,38,48.41,61,126
74,76,James Hahn,34,48.33,58,120
75,94,Chris Kirk,35,48.25,55,114
76,T116,Ryan Moore,30,48.15,52,108
77,83,Nate Lashley,26,47.96,47,98
78,81,Charl Schwartzel,20,47.83,33,69
79,85,Cameron Davis,38,47.69,62,130
80,86,Emiliano Grillo,38,47.66,61,128
81,89,Patrick Rodgers,39,47.62,60,126
82,78,Richy Werenski,37,47.58,59,124
83,106,Scott Stallings,33,47.54,58,122
84,93,Lucas Glover,34,47.41,55,116
85,T87,Sanghyun Park,15,47.37,27,57
86,79,Tommy Fleetwood,20,47.22,34,72
87,91,Webb Simpson,24,47.14,33,70
88,T70,Kevin Streelman,37,46.88,60,128
89,104,Daniel Berger,18,46.77,29,62
90,96,Matt Jones,37,46.72,57,122
91,82,Scott Piercy,44,46.71,71,152
T92,T97,Jim Furyk,20,46.67,28,60
T92,130,D.A. Points,26,46.67,42,90
T92,T97,Shubhankar Sharma,16,46.67,28,60
T95,151,Aaron Baddeley,31,46.43,52,112
T95,T107,"Ted Potter, Jr.",33,46.43,52,112
T95,T102,Alex Prugh,33,46.43,52,112
98,77,Harris English,42,46.27,62,134
T99,T107,Nicholas Lindheim,14,46.15,24,52
T99,T107,Ryan Palmer,30,46.15,48,104
T99,T107,Jordan Spieth,24,46.15,36,78
102,92,J.J. Spaun,43,46.05,70,152
103,105,Ryan Blaum,45,46.00,69,150
104,114,Chez Reavie,42,45.89,67,146
105,115,Brandon Harkins,37,45.83,55,120
106,80,Harold Varner III,36,45.69,53,116
107,T116,Patrick Cantlay,26,45.65,42,92
108,119,Kevin Tway,32,45.54,51,112
109,111,C.T. Pan,38,45.52,61,134
110,95,Brendan Steele,30,45.45,50,110
111,120,Roberto DÃ­az,25,45.35,39,86
112,121,Nick Taylor,38,45.31,58,128
T113,122,Jim Knous,31,45.28,48,106
T113,T112,Danny Lee,34,45.28,48,106
