RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
133,138,Doug Ghim,13,13.21,7,53
134,T140,Jim Herman,19,13.16,10,76
135,187,Nick Taylor,34,13.14,18,137
136,T180,Dustin Johnson,16,13.11,8,61
137,143,John Catlin,19,12.99,10,77
138,T118,Xander Schauffele,28,12.96,14,108
139,T196,Adam Scott,21,12.94,11,85
140,144,Charles Howell III,34,12.88,17,132
T141,T126,Keith Mitchell,29,12.82,15,117
T141,146,JosÃ© de JesÃºs RodrÃ­guez,29,12.82,15,117
T143,T180,Patrick Cantlay,22,12.50,11,88
T143,T109,Tyrrell Hatton,14,12.50,7,56
T143,T147,Kevin Na,22,12.50,11,88
T143,T147,Brendan Steele,24,12.50,12,96
147,153,James Hahn,34,12.41,17,137
T148,T177,"Ted Potter, Jr.",31,12.40,15,121
T148,154,Chase Wright,32,12.40,16,129
150,T155,Chris Stroud,26,12.38,13,105
T151,T157,Sangmoon Bae,24,12.37,12,97
T151,198,Charley Hoffman,24,12.37,12,97
T151,T157,Grayson Murray,24,12.37,12,97
154,T157,Martin Trainer,22,12.36,11,89
155,160,Derek Fathauer,12,12.24,6,49
156,T162,Chris Kirk,27,12.04,13,108
157,145,Scott Stallings,29,11.97,14,117
158,166,Luke List,23,11.96,11,92
159,T164,Sam Saunders,27,11.93,13,109
160,T190,Dylan Frittelli,25,11.88,12,101
161,167,Johnson Wagner,23,11.83,11,93
T162,T168,Talor Gooch,21,11.76,10,85
T162,T168,David Hearn,21,11.76,10,85
T162,172,C.T. Pan,34,11.76,16,136
T162,T174,Danny Willett,17,11.76,8,68
166,188,Abraham Ancer,32,11.72,15,128
167,T174,Sam Burns,28,11.61,13,112
168,176,Chesson Hadley,28,11.50,13,113
T169,T177,Roberto Castro,26,11.43,12,105
T169,T155,JuliÃ¡n Etulain,26,11.43,12,105
171,T162,Brian Harman,31,11.29,14,124
172,179,Stewart Cink,20,11.25,9,80
173,T180,Curtis Luck,22,11.24,10,89
T174,T180,Ricky Barnes,11,11.11,5,45
T174,186,Rafa Cabrera Bello,20,11.11,9,81
T174,201,Kramer Hickok,29,11.11,13,117
T174,T164,Kyle Jones,29,11.11,13,117
T174,T170,Sam Ryder,36,11.11,16,144
179,T170,Harris English,34,11.03,15,136
180,185,Andrew Landry,26,11.00,11,100
181,173,Tyler Duncan,34,10.95,15,137
182,189,Hunter Mahan,30,10.74,13,121
183,T147,Cameron Smith,28,10.71,12,112
184,194,Russell Henley,28,10.62,12,113
T185,T192,Roberto DÃ­az,19,10.39,8,77
T185,T196,John Senden,19,10.39,8,77
187,216,Ernie Els,24,10.31,10,97
188,199,Tom Hoge,34,10.22,14,137
189,204,Bill Haas,27,10.19,11,108
190,212,Brian Stuard,40,9.94,16,161
