RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
T127,T132,Brendan Steele,44,1.26,153,121
T127,T128,Robert Streb,52,1.26,172,137
T132,T144,Austin Cook,38,1.25,137,110
T132,T128,Brice Garnett,55,1.25,195,156
T132,T144,Tyrrell Hatton,34,1.25,126,101
T132,T137,SebastiÃ¡n MuÃ±oz,50,1.25,183,146
T136,T147,Charley Hoffman,48,1.24,166,134
T136,T147,Chris Kirk,47,1.24,160,129
T136,T137,Kelly Kraft,53,1.24,193,156
T136,T117,Martin Piller,26,1.24,103,83
T136,T147,Patrick Rodgers,44,1.24,168,135
T136,T147,Ollie Schniederjans,55,1.24,198,160
T136,T128,Chris Stroud,46,1.24,147,119
T143,T156,Matthew Fitzpatrick,30,1.23,106,86
T143,T98,FabiÃ¡n GÃ³mez,40,1.23,136,111
T143,T137,Russell Henley,50,1.23,155,126
T143,T169,Jim Knous,49,1.23,165,134
T143,T156,Hunter Mahan,45,1.23,163,132
T148,T135,David Hearn,37,1.22,116,95
T148,T132,JosÃ© de JesÃºs RodrÃ­guez,45,1.22,166,136
T150,T156,Ryan Blaum,63,1.21,224,185
T150,T144,Kramer Hickok,51,1.21,181,149
T150,T128,Scott Langley,54,1.21,185,153
T150,T165,Haotong Li,24,1.21,75,62
T150,T147,Ben Silverman,44,1.21,160,132
T150,T156,Adam Svensson,47,1.21,169,140
T150,T147,Peter Uihlein,51,1.21,182,151
T157,T167,Stewart Cink,33,1.20,127,106
T157,T147,Roberto DÃ­az,45,1.20,144,120
T157,T162,Joaquin Niemann,54,1.20,184,153
T157,T147,Sam Saunders,49,1.20,170,142
T157,T176,Henrik Stenson,30,1.20,73,61
T162,T147,Whee Kim,49,1.19,163,137
T162,T137,Anirban Lahiri,44,1.19,143,120
T162,T169,Eddie Pepperell,23,1.19,74,62
T162,T169,Alex Prugh,49,1.19,160,135
T162,T162,Martin Trainer,44,1.19,166,140
T167,T174,Kevin Na,44,1.18,140,119
T167,T125,Wes Roach,38,1.18,122,103
T167,T167,Roger Sloan,51,1.18,201,171
T170,T156,Seth Reeves,46,1.16,168,145
T170,T185,Kyle Stanley,49,1.16,147,127
T172,T178,John Chin,34,1.15,127,110
T172,T189,Jason Dufner,46,1.15,163,142
T172,T169,Brandon Harkins,61,1.15,232,202
T175,T178,Justin Harding,23,1.14,67,59
T175,T165,Mackenzie Hughes,48,1.14,156,137
T175,T169,Sepp Straka,40,1.14,148,130
T178,T132,Derek Fathauer,24,1.13,76,67
T178,T156,Stephan Jaeger,51,1.13,165,146
T178,T182,Charl Schwartzel,34,1.13,110,97
T181,T178,Bill Haas,46,1.12,145,129
T181,T182,Adam Long,42,1.12,145,130
T181,184,Jimmy Walker,47,1.12,159,142
T184,T185,John Huh,35,1.11,113,102
T184,T174,Curtis Luck,45,1.11,146,131
T186,T178,Tom Hoge,60,1.10,191,173
T186,T176,Danny Willett,35,1.10,121,110
188,T185,"Ted Potter, Jr.",48,1.09,174,160
189,191,Branden Grace,50,1.08,152,141
190,T193,John Senden,37,1.07,113,106
T191,T189,Sangmoon Bae,36,1.06,116,109
T191,T185,Brady Schnell,32,1.06,101,95
T193,192,Tyler Duncan,58,1.05,189,180
T193,T193,Martin Kaymer,28,1.05,96,91
T195,201,Brian Harman,51,1.04,163,156
T195,197,Grayson Murray,36,1.04,138,133
197,T193,Jim Herman,33,1.03,115,112
T198,T199,Alex Noren,33,1.02,100,98
T198,T199,Matt Wallace,27,1.02,85,83
200,T193,Kyle Jones,45,1.01,135,134
201,999,Brandon Hagy,23,1.00,79,79
202,T206,Seamus Power,51,.99,159,161
203,198,J.J. Henry,34,.98,85,87
204,203,Alex Cejka,39,.96,114,119
T205,209,Cody Gribble,46,.95,152,160
T205,202,Chris Thompson,28,.95,87,92
T207,208,Lucas Bjerregaard,29,.93,74,80
T207,T204,Joey Garber,36,.93,93,100
T209,T204,Freddie Jacobson,35,.87,108,124
T209,210,Satoshi Kodaira,49,.87,158,182
211,211,D.A. Points,33,.86,98,114
212,212,Michael Kim,43,.85,131,154
213,213,Rod Pampling,32,.75,85,114
