RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,1,Gary Woodland,31,67.92,72,106
2,3,Bryson DeChambeau,16,66.67,32,48
3,4,Justin Thomas,24,66.25,53,80
4,2,Marc Leishman,24,63.10,53,84
5,5,Ian Poulter,16,62.50,35,56
6,6,Justin Rose,12,60.42,29,48
7,7,Wyndham Clark,31,60.19,65,108
8,9,Matt Every,12,59.52,25,42
T9,13,Matt Kuchar,28,59.09,52,88
T9,T10,Bubba Watson,14,59.09,26,44
11,8,Cameron Champ,39,58.46,76,130
12,14,Si Woo Kim,36,57.94,73,126
13,T10,Adam Scott,21,57.89,44,76
T14,T15,Rickie Fowler,16,57.69,30,52
T14,18,Xander Schauffele,28,57.69,60,104
16,17,Nick Watney,33,57.63,68,118
17,19,Kenny Perry,9,57.14,16,28
18,20,Dominic Bozzelli,27,56.98,49,86
19,21,Troy Merritt,22,56.76,42,74
20,12,Bud Cauley,27,56.52,52,92
21,26,Luke List,23,56.41,44,78
22,25,Paul Casey,26,55.21,53,96
23,T15,Kiradech Aphibarnrat,16,55.17,32,58
24,24,Hank Lebioda,23,55.13,43,78
25,22,Joel Dahmen,36,55.08,65,118
26,27,Hideki Matsuyama,24,55.00,44,80
27,31,Talor Gooch,21,53.95,41,76
T28,28,Sam Saunders,27,53.85,49,91
T28,T29,Hudson Swafford,32,53.85,56,104
30,35,D.J. Trahan,15,53.57,30,56
31,T41,Jon Rahm,24,53.41,47,88
32,37,Rory Sabbatini,27,53.26,49,92
33,23,Phil Mickelson,18,53.03,35,66
34,54,Davis Love III,23,52.86,37,70
35,32,Charles Howell III,34,52.59,61,116
36,43,Jason Day,20,52.50,42,80
37,34,Sam Ryder,36,52.46,64,122
38,44,Adam Schenk,38,52.31,68,130
39,T41,Dylan Frittelli,25,52.27,46,88
40,T63,Tony Finau,26,52.22,47,90
T41,36,JuliÃ¡n Etulain,26,52.17,48,92
T41,33,Sungjae Im,41,52.17,72,138
T43,T58,Cody Gribble,28,52.08,50,96
T43,T47,Sanghyun Park,12,52.08,25,48
45,49,Trey Mullinax,30,52.00,52,100
46,T29,Sung Kang,33,51.82,57,110
47,52,Emiliano Grillo,32,51.79,58,112
48,40,Adam Hadwin,34,51.72,60,116
T49,T55,Byeong Hun An,16,51.67,31,60
T49,T63,Rory McIlroy,16,51.67,31,60
51,53,Brian Gay,39,51.59,65,126
52,57,Johnson Wagner,23,51.28,40,78
53,T63,Michael Thompson,26,51.11,46,90
T54,T58,Kelly Kraft,29,51.04,49,96
T54,T45,Denny McCarthy,29,51.04,49,96
T54,T45,Keith Mitchell,29,51.04,49,96
57,T50,Seth Reeves,32,50.93,55,108
T58,T63,Bronson Burgoon,21,50.00,38,76
T58,T63,Austin Cook,19,50.00,33,66
T58,T38,Tommy Fleetwood,12,50.00,22,44
T58,T63,Jason Gore,10,50.00,17,34
T58,T63,Bill Haas,27,50.00,48,96
T58,T90,Mackenzie Hughes,24,50.00,40,80
T58,T50,Stephan Jaeger,34,50.00,57,114
T58,T63,Zach Johnson,16,50.00,24,48
T58,T47,Dustin Johnson,16,50.00,30,60
T58,T63,Matt Jones,29,50.00,49,98
T58,T63,Brooks Koepka,12,50.00,24,48
T58,T63,Jamie Lovemark,22,50.00,37,74
T58,T63,Steve Marino,12,50.00,19,38
T58,T63,Alex Prugh,29,50.00,50,100
T58,T63,Patrick Reed,20,50.00,36,72
T58,T63,Webb Simpson,16,50.00,25,50
T58,T58,Cameron Smith,28,50.00,48,96
T58,T63,Brandt Snedeker,35,50.00,64,128
T58,61,Kevin Streelman,30,50.00,53,106
T58,T121,Danny Willett,17,50.00,32,64
T58,T55,Aaron Wise,19,50.00,33,66
79,82,Scott Piercy,38,49.24,65,132
80,T84,Ryan Blaum,34,49.11,55,112
81,98,Cameron Davis,30,49.06,52,106
82,88,Chris Kirk,27,48.84,42,86
83,T90,Nate Lashley,20,48.65,36,74
84,T63,Chez Reavie,38,48.51,65,134
85,T95,Jordan Spieth,20,48.48,32,66
86,T63,Beau Hossler,34,48.36,59,122
87,93,James Hahn,34,48.33,58,120
88,T84,Tyler Duncan,34,48.21,54,112
T89,86,Harris English,34,48.18,53,110
T89,94,Richy Werenski,32,48.18,53,110
91,T99,D.A. Points,16,48.15,26,54
92,104,Max Homa,29,47.96,47,98
93,T99,Shubhankar Sharma,12,47.92,23,48
94,102,Lucas Glover,26,47.83,44,92
95,89,Danny Lee,28,47.78,43,90
96,103,Kevin Chappell,12,47.73,21,44
