RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR 4 BIRDIES OR BETTER,PAR 4 HOLES
1,1,Phil Mickelson,35,23.87,79,331
2,3,Justin Thomas,43,22.22,96,432
3,4,Ryan Palmer,42,22.06,88,399
4,2,Rickie Fowler,44,22.01,103,468
5,6,Rafa Cabrera Bello,45,21.55,92,427
6,7,Patrick Cantlay,41,21.54,81,376
7,5,Gary Woodland,55,21.08,117,555
8,18,Aaron Wise,40,20.92,82,392
9,T8,Xander Schauffele,45,20.91,92,440
10,10,Abraham Ancer,53,20.87,106,508
T11,T11,Tyrrell Hatton,34,20.78,64,308
T11,T11,Si Woo Kim,57,20.78,112,539
13,14,Talor Gooch,27,20.70,59,285
14,T8,Justin Rose,30,20.45,54,264
15,19,Andrew Putnam,45,20.38,85,417
16,15,Dominic Bozzelli,43,20.32,88,433
17,T11,Rory McIlroy,40,20.21,76,376
18,T21,Tiger Woods,25,20.19,42,208
19,23,Cameron Smith,49,20.17,94,466
20,24,Scott Piercy,56,20.15,111,551
21,27,Jason Day,39,20.00,69,345
22,28,Byeong Hun An,44,19.95,86,431
23,26,Brooks Koepka,37,19.94,63,316
24,16,Charles Howell III,57,19.93,114,572
25,17,J.B. Holmes,48,19.91,84,422
26,29,Stewart Cink,33,19.71,69,350
27,30,Bryson DeChambeau,37,19.67,72,366
28,T21,Jason Kokrak,60,19.52,114,584
29,32,Louis Oosthuizen,35,19.50,55,282
30,25,Wyndham Clark,55,19.46,108,555
31,T33,Jordan Spieth,41,19.45,78,401
32,31,Cameron Champ,48,19.27,95,493
33,35,Keith Mitchell,54,19.15,104,543
34,38,Justin Harding,23,19.14,31,162
35,20,Jonathan Byrd,37,19.11,69,361
36,37,Webb Simpson,45,19.08,87,456
37,42,Sungjae Im,73,19.03,138,725
38,41,Aaron Baddeley,43,18.96,84,443
39,36,Chase Wright,48,18.86,93,493
40,44,Matt Kuchar,55,18.83,97,515
41,48,Brandon Harkins,61,18.80,113,601
42,39,Chez Reavie,61,18.69,106,567
43,47,David Hearn,37,18.66,64,343
T44,40,Keegan Bradley,55,18.65,94,504
T44,T55,Vaughn Taylor,57,18.65,108,579
46,51,Kevin Kisner,57,18.63,90,483
47,T33,Tony Finau,51,18.50,89,481
48,53,Jim Furyk,39,18.49,66,357
49,54,Ian Poulter,43,18.42,70,380
50,999,Tom Lovelady,23,18.31,39,213
51,58,Corey Conners,48,18.30,84,459
52,43,"Ted Potter, Jr.",48,18.28,89,487
53,46,Hank Lebioda,49,18.26,86,471
54,45,Danny Lee,52,18.23,97,532
T55,T59,Jon Rahm,47,18.20,75,412
T55,T59,Sam Ryder,48,18.20,91,500
57,61,Harold Varner III,52,18.18,96,528
58,T124,Sergio Garcia,35,18.12,50,276
59,T55,Chesson Hadley,50,18.11,90,497
60,72,Joaquin Niemann,54,18.07,99,548
61,63,Dustin Johnson,39,18.06,67,371
